Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TIL,EQ,2014-12-04,396.15,392.20,412.50,392.20,408.95,408.60,405.01,16602,67.24,395,8517,51.30
TIL,EQ,2014-12-05,408.60,416.10,422.00,407.00,409.00,409.30,414.39,32593,135.06,546,24129,74.03
TIL,EQ,2014-12-08,409.30,409.00,420.00,401.50,410.10,410.60,413.20,7531,31.12,265,5125,68.05
TIL,EQ,2014-12-09,410.60,410.10,415.20,385.00,399.00,396.40,399.41,9543,38.12,278,6494,68.05
TIL,EQ,2014-12-10,396.40,400.00,405.00,400.00,404.05,404.00,402.67,3725,15.00,101,3353,90.01
TIL,EQ,2014-12-11,404.00,400.00,407.80,400.00,402.50,402.50,404.85,5905,23.91,223,4296,72.75
TIL,EQ,2014-12-12,402.50,405.05,410.95,393.95,398.00,398.55,404.43,14091,56.99,457,10461,74.24
TIL,EQ,2014-12-15,398.55,387.10,404.00,387.10,400.00,400.60,399.70,10299,41.17,205,9044,87.81
TIL,EQ,2014-12-16,400.60,390.25,404.00,390.25,400.00,398.70,399.10,22283,88.93,410,17543,78.73
TIL,EQ,2014-12-17,398.70,396.00,400.10,377.50,388.00,391.90,391.06,14545,56.88,512,9188,63.17
TIL,EQ,2014-12-18,391.90,395.00,397.80,384.00,387.00,388.90,390.83,5071,19.82,216,3487,68.76
TIL,EQ,2014-12-19,388.90,392.00,401.95,388.00,392.00,394.50,393.83,3226,12.71,169,2083,64.57
TIL,EQ,2014-12-22,394.50,392.00,397.90,385.00,394.00,395.55,394.94,1382,5.46,84,1193,86.32
TIL,EQ,2014-12-23,395.55,381.00,413.00,381.00,400.00,399.60,406.47,11790,47.92,336,8991,76.26
TIL,EQ,2014-12-24,399.60,397.00,400.00,395.10,396.50,396.60,398.28,3920,15.61,62,3680,93.88
TIL,EQ,2014-12-26,396.60,399.00,404.00,394.00,396.00,396.15,398.29,6638,26.44,104,6285,94.68
TIL,EQ,2014-12-29,396.15,397.95,397.95,388.00,389.00,391.60,393.53,3738,14.71,153,2973,79.53
TIL,EQ,2014-12-30,391.60,393.95,395.00,380.80,382.05,384.60,386.73,21125,81.70,241,15040,71.20
TIL,EQ,2014-12-31,384.60,385.10,392.75,385.00,388.00,390.00,390.12,16059,62.65,306,15285,95.18
TIL,EQ,2015-01-01,390.00,387.00,390.00,380.00,386.20,389.15,385.09,5107,19.67,136,1298,25.42
TIL,EQ,2015-01-02,389.15,386.00,390.00,385.95,390.00,389.55,389.37,4476,17.43,89,3962,88.52
