Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TRIDENT,EQ,2014-12-04,29.05,29.05,29.35,27.80,27.90,27.95,28.65,362518,103.88,941,278837,76.92
TRIDENT,EQ,2014-12-05,27.95,28.25,28.70,27.20,27.30,27.45,27.89,286368,79.87,1289,188952,65.98
TRIDENT,EQ,2014-12-08,27.45,27.45,28.35,26.85,27.35,27.30,27.38,283571,77.64,1047,190734,67.26
TRIDENT,EQ,2014-12-09,27.30,27.70,27.70,26.75,26.75,26.90,27.12,327742,88.89,962,208295,63.55
TRIDENT,EQ,2014-12-10,26.90,27.55,27.55,26.25,26.90,26.85,26.77,286314,76.64,830,177874,62.13
TRIDENT,EQ,2014-12-11,26.85,26.90,27.25,26.10,26.15,26.25,26.59,155297,41.30,434,92336,59.46
TRIDENT,EQ,2014-12-12,26.25,26.80,26.85,25.05,25.50,25.20,25.62,268424,68.77,919,192857,71.85
TRIDENT,EQ,2014-12-15,25.20,24.95,25.60,24.45,25.00,24.85,25.04,125739,31.49,1033,81879,65.12
TRIDENT,EQ,2014-12-16,24.85,25.40,25.40,21.50,24.10,23.70,23.77,322041,76.54,1026,225360,69.98
TRIDENT,EQ,2014-12-17,23.70,23.75,24.00,22.75,23.55,23.75,23.43,132024,30.94,673,55302,41.89
TRIDENT,EQ,2014-12-18,23.75,24.00,24.85,24.00,24.50,24.35,24.44,326747,79.85,642,253482,77.58
TRIDENT,EQ,2014-12-19,24.35,24.45,25.65,24.35,25.25,25.15,25.21,202399,51.03,970,111739,55.21
TRIDENT,EQ,2014-12-22,25.15,24.90,25.75,24.90,25.00,25.00,25.26,218769,55.25,482,179815,82.19
TRIDENT,EQ,2014-12-23,25.00,25.00,25.15,24.05,24.05,24.25,24.48,110913,27.15,285,94254,84.98
TRIDENT,EQ,2014-12-24,24.25,24.05,24.40,23.70,24.05,24.05,24.01,580225,139.33,352,541816,93.38
TRIDENT,EQ,2014-12-26,24.05,23.50,26.35,23.50,25.40,25.35,25.48,845459,215.44,1993,573915,67.88
TRIDENT,EQ,2014-12-29,25.35,25.85,26.25,25.30,25.30,25.50,25.83,120613,31.15,474,72343,59.98
TRIDENT,EQ,2014-12-30,25.50,25.30,25.60,24.55,25.15,25.15,25.19,78212,19.71,336,49299,63.03
TRIDENT,EQ,2014-12-31,25.15,25.20,25.95,25.15,25.70,25.70,25.67,75099,19.28,305,35241,46.93
TRIDENT,EQ,2015-01-01,25.70,25.50,26.00,25.30,25.70,25.70,25.84,68189,17.62,299,43662,64.03
TRIDENT,EQ,2015-01-02,25.70,25.85,26.60,25.70,26.10,26.15,26.27,293509,77.10,707,159632,54.39
TRIDENT,EQ,2015-01-05,26.15,26.10,26.60,25.25,25.90,25.90,26.14,113082,29.56,468,78400,69.33
TRIDENT,EQ,2015-01-06,25.90,25.60,25.60,24.50,25.10,25.00,25.02,149157,37.32,460,108783,72.93
TRIDENT,EQ,2015-01-07,25.00,25.00,25.45,24.50,24.75,24.75,24.76,80869,20.02,241,61409,75.94
TRIDENT,EQ,2015-01-08,24.75,25.30,25.60,24.90,25.40,25.40,25.37,56488,14.33,294,40373,71.47
TRIDENT,EQ,2015-01-09,25.40,25.75,25.75,24.35,24.60,24.70,24.88,111886,27.84,476,73202,65.43
TRIDENT,EQ,2015-01-12,24.70,24.55,25.35,24.50,25.15,25.00,25.04,79564,19.92,237,60849,76.48
TRIDENT,EQ,2015-01-13,25.00,25.35,25.40,24.70,25.00,24.85,25.09,92260,23.15,321,70780,76.72
TRIDENT,EQ,2015-01-14,24.85,24.95,25.00,24.50,24.50,24.60,24.64,66906,16.49,275,43676,65.28
TRIDENT,EQ,2015-01-15,24.60,24.65,26.10,24.65,25.40,25.55,25.42,114050,28.99,527,84379,73.98
TRIDENT,EQ,2015-01-16,25.55,25.75,25.75,24.20,24.65,24.60,24.87,100909,25.10,475,77002,76.31
TRIDENT,EQ,2015-01-19,24.60,24.95,25.05,24.50,24.55,24.55,24.73,98514,24.37,353,75677,76.82
TRIDENT,EQ,2015-01-20,24.55,25.00,25.00,23.60,24.45,24.25,24.43,114806,28.04,485,76899,66.98
