Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TTKHLTCARE,EQ,2015-12-02,1014.50,1035.00,1044.00,964.00,1000.00,990.65,989.61,1309,12.95,132,416,31.78
TTKHLTCARE,EQ,2015-12-03,990.65,975.00,975.00,938.00,970.50,970.50,957.36,143,1.37,21,80,55.94
TTKHLTCARE,EQ,2015-12-04,970.50,951.10,970.50,951.10,970.50,970.10,958.22,16,0.15,3,16,100.00
TTKHLTCARE,EQ,2015-12-07,970.10,950.00,986.95,938.00,986.95,983.60,945.54,148,1.40,17,123,83.11
TTKHLTCARE,EQ,2015-12-08,983.60,936.00,951.00,935.00,950.00,950.00,942.86,55,0.52,15,32,58.18
TTKHLTCARE,EQ,2015-12-09,950.00,944.00,950.00,930.00,930.00,930.00,943.80,76,0.72,8,64,84.21
TTKHLTCARE,EQ,2015-12-10,930.00,889.00,947.95,889.00,947.95,947.95,918.48,2,0.02,2,1,50.00
TTKHLTCARE,EQ,2015-12-11,947.95,979.00,979.00,901.00,929.00,929.00,943.76,41,0.39,13,28,68.29
TTKHLTCARE,EQ,2015-12-14,929.00,929.00,960.00,901.00,930.00,930.75,922.47,173,1.60,14,78,45.09
TTKHLTCARE,EQ,2015-12-15,930.75,920.00,960.00,920.00,960.00,959.95,948.14,125,1.19,10,125,100.00
TTKHLTCARE,EQ,2015-12-16,959.95,962.00,991.00,960.00,965.10,965.10,978.21,261,2.55,15,230,88.12
TTKHLTCARE,EQ,2015-12-17,965.10,965.10,997.95,925.05,960.00,975.50,967.85,110,1.06,22,78,70.91
TTKHLTCARE,EQ,2015-12-18,975.50,989.00,990.00,940.00,987.00,959.65,976.33,337,3.29,29,265,78.64
TTKHLTCARE,EQ,2015-12-21,959.65,998.00,1124.00,973.00,1065.70,1076.30,1058.33,40462,428.22,1109,29175,72.10
TTKHLTCARE,EQ,2015-12-22,1076.30,1080.00,1080.00,1035.00,1040.20,1040.65,1043.99,2521,26.32,123,2035,80.72
TTKHLTCARE,EQ,2015-12-23,1040.65,1020.00,1055.00,1002.00,1040.05,1040.40,1041.27,972,10.12,96,784,80.66
TTKHLTCARE,EQ,2015-12-24,1040.40,1049.00,1055.00,1035.00,1045.00,1051.85,1045.61,448,4.68,28,441,98.44
TTKHLTCARE,EQ,2015-12-28,1051.85,1050.00,1059.80,1024.95,1050.10,1055.05,1042.01,1587,16.54,96,1487,93.70
TTKHLTCARE,EQ,2015-12-29,1055.05,1054.95,1068.95,1030.00,1045.00,1046.45,1034.87,1921,19.88,35,1807,94.07
TTKHLTCARE,EQ,2015-12-30,1046.45,1011.00,1070.00,1011.00,1050.00,1048.55,1047.84,302,3.16,42,196,64.90
TTKHLTCARE,EQ,2015-12-31,1048.55,1060.00,1060.00,1040.00,1059.00,1049.45,1053.10,271,2.85,20,271,100.00
TTKHLTCARE,EQ,2016-01-01,1049.45,1026.00,1059.95,1025.00,1045.80,1045.80,1033.08,231,2.39,33,204,88.31
TTKHLTCARE,EQ,2016-01-04,1045.80,1027.00,1055.00,1015.50,1055.00,1050.05,1047.78,1358,14.23,58,1339,98.60
TTKHLTCARE,EQ,2016-01-05,1050.05,1060.00,1069.00,1026.00,1050.00,1050.00,1040.01,61165,636.12,33,61121,99.93
TTKHLTCARE,EQ,2016-01-06,1050.00,1048.95,1050.00,1001.00,1024.90,1018.35,1030.16,386,3.98,73,168,43.52
TTKHLTCARE,EQ,2016-01-07,1018.35,1002.00,1045.05,1001.00,1001.00,1007.65,1017.69,416,4.23,58,333,80.05
TTKHLTCARE,EQ,2016-01-08,1007.65,1000.00,1007.80,981.00,990.00,990.55,990.04,446,4.42,71,381,85.43
TTKHLTCARE,EQ,2016-01-11,990.55,975.00,976.60,900.00,942.10,948.70,942.78,1773,16.72,184,866,48.84
TTKHLTCARE,EQ,2016-01-12,948.70,980.00,998.00,920.00,955.00,946.70,953.81,978,9.33,99,725,74.13
TTKHLTCARE,EQ,2016-01-13,946.70,921.20,985.00,921.20,935.00,956.70,939.87,943,8.86,105,624,66.17
TTKHLTCARE,EQ,2016-01-14,956.70,920.05,949.00,891.00,949.00,944.80,923.84,174,1.61,54,91,52.30
TTKHLTCARE,EQ,2016-01-15,944.80,960.00,960.00,925.00,950.00,949.00,948.96,1510,14.33,77,1406,93.11
TTKHLTCARE,EQ,2016-01-18,949.00,920.00,922.00,901.20,910.00,912.30,913.07,122,1.11,26,82,67.21
TTKHLTCARE,EQ,2016-01-19,912.30,870.00,950.00,870.00,905.00,911.85,904.03,292,2.64,60,229,78.42
TTKHLTCARE,EQ,2016-01-20,911.85,905.00,905.55,856.50,880.00,886.45,886.75,687,6.09,104,547,79.62
TTKHLTCARE,EQ,2016-01-21,886.45,896.20,948.60,871.00,900.10,914.15,890.02,396,3.52,90,272,68.69
TTKHLTCARE,EQ,2016-01-22,914.15,892.05,915.00,891.00,894.10,907.65,903.73,169,1.53,21,132,78.11
TTKHLTCARE,EQ,2016-01-25,907.65,907.00,909.00,891.00,891.00,897.75,905.73,272,2.46,31,220,80.88
TTKHLTCARE,EQ,2016-01-27,897.75,897.80,903.00,890.00,900.00,894.35,898.23,354,3.18,29,329,92.94
TTKHLTCARE,EQ,2016-01-28,894.35,890.10,927.55,890.00,921.40,921.45,908.29,27,0.25,19,16,59.26
TTKHLTCARE,EQ,2016-01-29,921.45,900.05,949.00,888.00,915.00,906.60,905.85,332,3.01,71,260,78.31
TTKHLTCARE,EQ,2016-02-01,906.60,949.00,1029.00,849.00,925.00,926.95,920.67,940,8.65,130,210,22.34
TTKHLTCARE,EQ,2016-02-02,926.95,945.00,969.90,900.00,900.00,910.00,924.06,161,1.49,47,125,77.64
TTKHLTCARE,EQ,2016-02-03,910.00,917.50,1020.00,890.00,943.00,938.20,965.08,14065,135.74,1898,2418,17.19
TTKHLTCARE,EQ,2016-02-04,938.20,939.25,940.00,913.00,930.00,926.90,926.39,1923,17.81,157,1392,72.39
TTKHLTCARE,EQ,2016-02-05,926.90,929.00,930.00,903.00,930.00,916.45,915.49,559,5.12,72,340,60.82
TTKHLTCARE,EQ,2016-02-08,916.45,904.15,940.00,903.00,920.00,917.20,919.49,294,2.70,49,208,70.75
TTKHLTCARE,EQ,2016-02-09,917.20,914.45,925.00,893.00,924.90,897.90,898.44,800,7.19,89,638,79.75
TTKHLTCARE,EQ,2016-02-10,897.90,895.00,910.00,883.40,900.00,890.85,894.84,6467,57.87,66,352,5.44
TTKHLTCARE,EQ,2016-02-11,890.85,888.00,919.80,875.00,875.00,875.00,883.14,712,6.29,57,687,96.49
