Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TULSI,EQ,2014-12-04,5.00,5.10,5.15,4.50,4.60,4.55,4.61,190735,8.80,518,138725,72.73
TULSI,EQ,2014-12-05,4.55,4.75,4.85,4.55,4.70,4.70,4.74,42966,2.03,225,24062,56.00
TULSI,EQ,2014-12-08,4.70,4.70,4.80,4.55,4.55,4.60,4.68,11286,0.53,124,5740,50.86
TULSI,EQ,2014-12-09,4.60,4.55,4.70,4.25,4.30,4.35,4.44,43241,1.92,320,35628,82.39
TULSI,EQ,2014-12-10,4.35,4.30,4.80,4.10,4.30,4.20,4.26,72715,3.10,257,44994,61.88
TULSI,EQ,2014-12-11,4.20,4.25,4.30,4.00,4.05,4.05,4.12,51568,2.12,248,36459,70.70
TULSI,EQ,2014-12-12,4.05,4.10,4.20,3.95,4.00,4.00,4.07,22744,0.93,142,14274,62.76
TULSI,EQ,2014-12-15,4.00,4.05,4.10,3.95,4.00,4.00,4.02,19762,0.79,83,13149,66.54
TULSI,EQ,2014-12-16,4.00,4.55,4.55,3.95,4.30,4.25,4.10,24951,1.02,156,15709,62.96
TULSI,EQ,2014-12-17,4.25,4.15,4.20,4.00,4.05,4.05,4.08,21038,0.86,116,9635,45.80
TULSI,EQ,2014-12-18,4.05,4.10,4.20,4.00,4.15,4.10,4.12,16895,0.70,99,9722,57.54
TULSI,EQ,2014-12-19,4.10,4.05,4.20,4.00,4.10,4.05,4.12,27806,1.14,122,16786,60.37
TULSI,EQ,2014-12-22,4.05,4.00,4.15,4.00,4.00,4.05,4.06,8734,0.35,67,3733,42.74
TULSI,EQ,2014-12-23,4.05,4.05,4.10,3.95,3.95,3.95,4.02,15403,0.62,84,6756,43.86
TULSI,EQ,2014-12-24,3.95,3.95,4.45,3.65,3.75,3.80,3.92,73051,2.86,358,41817,57.24
TULSI,EQ,2014-12-26,3.80,3.85,3.90,3.50,3.60,3.65,3.66,96437,3.53,264,77766,80.64
TULSI,EQ,2014-12-29,3.65,3.60,4.00,3.60,3.75,3.85,3.93,56499,2.22,166,40437,71.57
TULSI,EQ,2014-12-30,3.85,3.70,3.90,3.70,3.75,3.75,3.81,26862,1.02,64,17961,66.86
TULSI,EQ,2014-12-31,3.75,3.80,3.90,3.65,3.80,3.70,3.73,67695,2.52,226,56029,82.77
TULSI,EQ,2015-01-01,3.70,3.75,3.90,3.70,3.90,3.90,3.85,29829,1.15,92,10894,36.52
TULSI,EQ,2015-01-02,3.90,3.85,4.15,3.85,4.15,4.15,4.08,67101,2.74,197,49424,73.66
TULSI,EQ,2015-01-05,4.15,4.25,4.40,4.15,4.30,4.20,4.19,44936,1.88,116,29772,66.25
TULSI,EQ,2015-01-06,4.20,4.25,4.50,4.10,4.50,4.40,4.32,71789,3.10,224,56141,78.20
TULSI,EQ,2015-01-07,4.40,4.55,4.55,4.30,4.30,4.35,4.40,14013,0.62,73,5815,41.50
TULSI,EQ,2015-01-08,4.35,4.25,4.40,4.25,4.30,4.30,4.30,23689,1.02,190,17277,72.93
TULSI,EQ,2015-01-09,4.30,4.40,4.40,4.20,4.20,4.35,4.30,13169,0.57,154,6566,49.86
TULSI,EQ,2015-01-12,4.35,4.25,4.65,4.15,4.40,4.40,4.43,47106,2.09,324,26802,56.90
TULSI,EQ,2015-01-13,4.40,4.45,4.50,4.30,4.50,4.45,4.40,16054,0.71,117,7842,48.85
TULSI,EQ,2015-01-14,4.45,4.40,4.50,4.25,4.30,4.45,4.40,31206,1.37,125,15201,48.71
TULSI,EQ,2015-01-15,4.45,4.30,4.85,4.30,4.55,4.40,4.53,35459,1.61,371,13117,36.99
TULSI,EQ,2015-01-16,4.40,4.35,4.50,4.25,4.35,4.35,4.37,16295,0.71,148,9130,56.03
TULSI,EQ,2015-01-19,4.35,4.35,4.40,4.00,4.20,4.35,4.30,23297,1.00,117,14391,61.77
TULSI,EQ,2015-01-20,4.35,4.25,4.45,4.20,4.40,4.40,4.33,17512,0.76,192,6718,38.36
TULSI,EQ,2015-01-21,4.40,4.35,4.80,4.30,4.45,4.35,4.54,82707,3.75,397,18214,22.02
TULSI,EQ,2015-01-22,4.35,4.35,4.45,4.10,4.10,4.15,4.26,26774,1.14,179,18390,68.69
TULSI,EQ,2015-01-23,4.15,4.20,4.80,4.05,4.35,4.35,4.35,47948,2.09,244,30398,63.40
TULSI,EQ,2015-01-27,4.35,4.30,4.45,4.25,4.40,4.30,4.35,12652,0.55,146,4053,32.03
TULSI,EQ,2015-01-28,4.30,4.30,4.40,4.20,4.30,4.30,4.30,17208,0.74,149,9585,55.70
TULSI,EQ,2015-01-29,4.30,4.30,4.30,4.00,4.05,4.15,4.19,24064,1.01,213,11382,47.30
TULSI,EQ,2015-01-30,4.15,4.10,4.30,4.05,4.10,4.05,4.16,15015,0.62,168,6139,40.89
TULSI,EQ,2015-02-02,4.05,4.20,4.30,4.10,4.25,4.25,4.21,11660,0.49,98,3851,33.03
TULSI,EQ,2015-02-03,4.25,4.20,4.30,4.00,4.15,4.10,4.15,16705,0.69,90,9002,53.89
TULSI,EQ,2015-02-04,4.10,4.20,4.25,4.05,4.15,4.15,4.14,12305,0.51,129,6006,48.81
TULSI,EQ,2015-02-05,4.15,4.10,4.50,3.80,3.80,3.80,4.04,98983,4.00,369,71937,72.68
TULSI,EQ,2015-02-06,3.80,3.90,4.00,3.85,3.85,3.85,3.91,29160,1.14,121,18510,63.48
TULSI,EQ,2015-02-09,3.85,3.90,4.00,3.80,3.80,3.80,3.86,23904,0.92,121,15939,66.68
TULSI,EQ,2015-02-10,3.80,3.90,4.00,3.70,3.95,3.85,3.86,13002,0.50,143,4433,34.09
TULSI,EQ,2015-02-11,3.85,3.95,4.00,3.85,4.00,4.00,3.91,11985,0.47,104,5440,45.39
TULSI,EQ,2015-02-12,4.00,4.05,4.05,3.80,3.85,3.85,3.93,41608,1.64,139,26335,63.29
TULSI,EQ,2015-02-13,3.85,3.85,4.00,3.85,3.85,3.90,3.91,17754,0.69,103,10172,57.29
TULSI,EQ,2015-02-16,3.90,4.00,4.00,3.85,3.85,3.85,3.94,9808,0.39,79,4357,44.42
TULSI,EQ,2015-02-18,3.85,3.90,3.95,3.85,3.85,3.85,3.91,14792,0.58,165,8896,60.14
TULSI,EQ,2015-02-19,3.85,3.95,4.00,3.85,3.90,3.85,3.93,32965,1.30,129,23626,71.67
TULSI,EQ,2015-02-20,3.85,3.85,4.05,3.80,4.00,4.00,3.93,20599,0.81,96,10900,52.92
TULSI,EQ,2015-02-23,4.00,4.00,4.10,3.85,3.95,4.05,3.97,26976,1.07,119,19479,72.21
TULSI,EQ,2015-02-24,4.05,4.00,4.15,3.95,3.95,3.95,4.05,16441,0.67,115,7373,44.85
TULSI,EQ,2015-02-25,3.95,3.95,4.00,3.80,3.85,3.90,3.91,20349,0.80,147,11981,58.88
TULSI,EQ,2015-02-26,3.90,3.85,3.90,3.75,3.75,3.80,3.82,16696,0.64,121,11595,69.45
TULSI,EQ,2015-02-27,3.80,3.80,3.90,3.70,3.80,3.80,3.83,11950,0.46,79,8848,74.04
TULSI,EQ,2015-02-28,3.80,3.80,4.20,3.80,3.80,3.80,3.93,8698,0.34,52,7775,89.39
TULSI,EQ,2015-03-02,3.80,3.80,3.85,3.80,3.80,3.80,3.80,1274,0.05,13,1274,100.00
TULSI,EQ,2015-03-03,3.80,3.75,3.95,3.75,3.75,3.75,3.78,11668,0.44,43,9748,83.54
TULSI,EQ,2015-03-04,3.75,3.75,4.15,3.75,3.80,3.80,3.97,13797,0.55,77,10930,79.22
TULSI,EQ,2015-03-05,3.80,3.90,4.00,3.70,3.85,3.85,3.84,5225,0.20,39,4974,95.20
TULSI,EQ,2015-03-09,3.85,3.85,4.00,3.80,3.90,3.90,3.89,12837,0.50,36,11759,91.60
TULSI,EQ,2015-03-10,3.90,3.80,3.80,3.70,3.70,3.70,3.72,8777,0.33,31,7676,87.46
TULSI,EQ,2015-03-11,3.70,4.00,4.00,3.60,3.60,3.65,3.70,20157,0.75,54,17845,88.53
TULSI,EQ,2015-03-12,3.65,3.50,3.90,3.50,3.65,3.65,3.70,14424,0.53,58,10462,72.53
TULSI,EQ,2015-03-13,3.65,3.60,4.05,3.60,3.80,3.80,3.95,75715,2.99,112,58150,76.80
TULSI,EQ,2015-03-16,3.80,3.80,3.90,3.55,3.55,3.55,3.62,23030,0.83,96,16856,73.19
TULSI,EQ,2015-03-17,3.55,3.55,3.85,3.55,3.85,3.80,3.76,69602,2.62,81,60495,86.92
TULSI,EQ,2015-03-18,3.80,3.85,3.90,3.60,3.60,3.75,3.73,11101,0.41,45,8690,78.28
TULSI,EQ,2015-03-19,3.75,3.65,3.75,3.50,3.50,3.55,3.60,26600,0.96,57,25265,94.98
TULSI,EQ,2015-03-20,3.55,3.55,3.65,3.50,3.50,3.60,3.59,4906,0.18,37,4655,94.88
TULSI,EQ,2015-03-23,3.60,3.50,3.80,3.50,3.60,3.65,3.70,21424,0.79,56,16591,77.44
TULSI,EQ,2015-03-24,3.65,3.90,3.90,3.30,3.50,3.35,3.46,11444,0.40,48,9711,84.86
TULSI,EQ,2015-03-25,3.35,3.55,3.55,3.30,3.30,3.35,3.41,35705,1.22,48,33850,94.80
TULSI,EQ,2015-03-26,3.35,3.25,3.70,3.25,3.70,3.50,3.40,21467,0.73,79,18158,84.59
TULSI,EQ,2015-03-27,3.50,3.35,3.70,2.85,3.00,3.05,3.22,83965,2.70,124,78265,93.21
TULSI,EQ,2015-03-30,3.05,3.00,3.65,2.90,3.65,3.60,3.40,30795,1.05,74,28981,94.11
TULSI,EQ,2015-03-31,3.60,3.80,3.85,3.35,3.35,3.35,3.70,69923,2.58,187,59249,84.73
TULSI,EQ,2015-04-01,3.35,3.35,3.70,3.35,3.50,3.45,3.58,9707,0.35,58,8486,87.42
TULSI,EQ,2015-04-06,3.45,3.20,3.55,3.20,3.50,3.45,3.46,17882,0.62,34,17520,97.98
TULSI,EQ,2015-04-07,3.45,3.30,3.65,3.30,3.65,3.60,3.50,13337,0.47,51,10183,76.35
TULSI,EQ,2015-04-08,3.60,3.55,3.70,3.45,3.50,3.55,3.58,7510,0.27,80,6026,80.24
TULSI,EQ,2015-04-09,3.55,3.50,3.75,3.45,3.55,3.70,3.65,6387,0.23,58,4036,63.19
TULSI,EQ,2015-04-10,3.70,3.70,3.75,3.40,3.40,3.50,3.57,18668,0.67,104,16492,88.34
TULSI,EQ,2015-04-13,3.50,3.90,3.90,3.55,3.75,3.75,3.84,10122,0.39,17,6921,68.38
TULSI,EQ,2015-04-15,3.75,3.50,3.50,3.50,3.50,3.50,3.50,2400,0.08,3,2400,100.00
TULSI,EQ,2015-04-16,3.50,3.55,3.75,3.55,3.75,3.75,3.55,328,0.01,5,327,99.70
TULSI,EQ,2015-04-17,3.75,3.80,3.80,3.80,3.80,3.80,3.80,16045,0.61,14,13645,85.04
TULSI,EQ,2015-04-20,3.80,3.50,3.60,3.50,3.60,3.60,3.50,111,0.00,2,111,100.00
TULSI,EQ,2015-04-21,3.60,3.65,3.80,3.65,3.70,3.70,3.71,5322,0.20,8,5322,100.00
TULSI,EQ,2015-04-22,3.70,3.70,3.75,3.60,3.75,3.75,3.69,21273,0.79,13,21273,100.00
TULSI,EQ,2015-04-23,3.75,3.55,3.55,3.55,3.55,3.55,3.55,2120,0.08,3,2120,100.00
TULSI,EQ,2015-04-24,3.55,4.10,4.10,3.55,3.55,3.55,3.58,1666,0.06,5,1666,100.00
TULSI,EQ,2015-04-27,3.55,3.55,3.55,3.35,3.50,3.50,3.45,3408,0.12,5,3408,100.00
TULSI,EQ,2015-04-28,3.50,3.35,3.50,3.35,3.50,3.50,3.49,3662,0.13,9,3467,94.68
TULSI,EQ,2015-04-29,3.50,3.80,3.80,3.30,3.30,3.30,3.40,1250,0.04,5,1200,96.00
TULSI,EQ,2015-04-30,3.30,3.20,3.20,3.15,3.20,3.20,3.19,842,0.03,8,842,100.00
TULSI,EQ,2015-05-04,3.20,3.20,3.50,3.20,3.50,3.50,3.33,2024,0.07,12,1974,97.53
TULSI,EQ,2015-05-05,3.50,3.20,3.25,3.20,3.25,3.25,3.22,1848,0.06,4,975,52.76
TULSI,EQ,2015-05-06,3.25,3.65,3.65,3.65,3.65,3.65,3.65,27,0.00,1,27,100.00
TULSI,EQ,2015-05-07,3.65,3.05,3.45,3.05,3.45,3.45,3.38,1320,0.04,7,1318,99.85
TULSI,EQ,2015-05-08,3.45,3.20,3.30,3.20,3.25,3.25,3.26,1661,0.05,4,1661,100.00
TULSI,EQ,2015-05-11,3.25,3.15,3.15,3.15,3.15,3.15,3.15,99,0.00,1,99,100.00
TULSI,EQ,2015-05-13,3.15,3.05,3.05,3.05,3.05,3.05,3.05,25,0.00,2,25,100.00
TULSI,EQ,2015-05-14,3.05,3.05,3.20,3.05,3.20,3.20,3.17,1550,0.05,6,1430,92.26
TULSI,EQ,2015-05-15,3.20,3.00,3.45,3.00,3.00,3.00,3.04,991,0.03,5,991,100.00
TULSI,EQ,2015-05-18,3.00,3.40,3.50,3.40,3.50,3.50,3.47,17857,0.62,36,17509,98.05
TULSI,EQ,2015-05-19,3.50,3.10,3.50,3.10,3.50,3.50,3.47,5350,0.19,11,5250,98.13
TULSI,EQ,2015-05-20,3.50,3.50,3.50,3.40,3.40,3.40,3.49,4801,0.17,15,4801,100.00
TULSI,EQ,2015-05-21,3.40,3.05,3.10,3.05,3.10,3.10,3.08,1900,0.06,8,1900,100.00
TULSI,EQ,2015-05-22,3.10,3.15,3.40,3.10,3.40,3.40,3.12,1094,0.03,7,1092,99.82
TULSI,EQ,2015-05-25,3.40,2.85,3.30,2.85,2.95,2.95,2.91,644,0.02,9,643,99.84
TULSI,EQ,2015-05-26,2.95,3.35,3.35,3.00,3.00,3.00,3.03,1125,0.03,5,1125,100.00
TULSI,EQ,2015-05-27,3.00,2.90,2.90,2.90,2.90,2.90,2.90,2003,0.06,3,2003,100.00
TULSI,EQ,2015-05-28,2.90,2.60,3.25,2.60,3.25,3.25,3.15,1400,0.04,14,1210,86.43
TULSI,EQ,2015-05-29,3.25,2.90,2.90,2.90,2.90,2.90,2.90,5300,0.15,3,5300,100.00
TULSI,EQ,2015-06-01,2.90,2.70,3.20,2.70,3.00,3.00,2.89,428,0.01,6,428,100.00
TULSI,EQ,2015-06-02,3.00,3.10,3.10,3.10,3.10,3.10,3.10,292,0.01,2,292,100.00
TULSI,EQ,2015-06-03,3.10,3.10,3.45,3.10,3.45,3.45,3.14,1064,0.03,6,949,89.19
TULSI,EQ,2015-06-04,3.45,3.15,3.15,3.00,3.00,3.00,3.00,3781,0.11,12,3780,99.97
TULSI,EQ,2015-06-05,3.00,2.40,2.90,2.40,2.75,2.75,2.43,9062,0.22,25,8202,90.51
TULSI,EQ,2015-06-08,2.75,2.80,2.80,2.80,2.80,2.80,2.80,119,0.00,3,119,100.00
TULSI,EQ,2015-06-09,2.80,2.50,2.50,2.50,2.50,2.50,2.50,1782,0.04,3,1782,100.00
TULSI,EQ,2015-06-10,2.50,2.35,2.45,2.35,2.45,2.45,2.41,691,0.02,7,691,100.00
TULSI,EQ,2015-06-11,2.45,2.45,2.45,2.40,2.40,2.40,2.44,785,0.02,8,585,74.52
TULSI,EQ,2015-06-12,2.40,2.40,2.45,2.40,2.45,2.45,2.41,257,0.01,2,257,100.00
TULSI,EQ,2015-06-15,2.45,2.40,2.40,2.40,2.40,2.40,2.40,630,0.02,3,630,100.00
TULSI,EQ,2015-06-16,2.40,2.30,2.30,2.30,2.30,2.30,2.30,100,0.00,1,100,100.00
TULSI,EQ,2015-06-17,2.30,2.25,2.25,2.25,2.25,2.25,2.25,110,0.00,2,110,100.00
TULSI,EQ,2015-06-18,2.25,2.25,2.35,2.25,2.35,2.35,2.30,410,0.01,4,410,100.00
TULSI,EQ,2015-06-19,2.35,2.45,2.45,2.45,2.45,2.45,2.45,2800,0.07,1,2800,100.00
TULSI,EQ,2015-06-22,2.45,2.55,2.55,2.50,2.55,2.55,2.55,2543,0.06,7,2543,100.00
TULSI,EQ,2015-06-23,2.55,2.65,2.65,2.65,2.65,2.65,2.65,585,0.02,4,585,100.00
TULSI,EQ,2015-06-24,2.65,2.75,2.75,2.75,2.75,2.75,2.75,1000,0.03,3,1000,100.00
TULSI,EQ,2015-06-25,2.75,2.65,2.80,2.65,2.80,2.80,2.71,1402,0.04,7,902,64.34
TULSI,EQ,2015-06-26,2.80,2.70,2.70,2.70,2.70,2.70,2.70,1500,0.04,3,1500,100.00
TULSI,EQ,2015-06-29,2.70,2.60,2.60,2.60,2.60,2.60,2.60,200,0.01,2,200,100.00
TULSI,EQ,2015-06-30,2.60,2.70,2.70,2.70,2.70,2.70,2.70,25,0.00,1,25,100.00
TULSI,EQ,2015-07-01,2.70,2.75,2.75,2.65,2.65,2.65,2.69,980,0.03,4,980,100.00
TULSI,EQ,2015-07-02,2.65,2.70,2.70,2.70,2.70,2.70,2.70,420,0.01,4,420,100.00
TULSI,EQ,2015-07-03,2.70,2.70,2.70,2.70,2.70,2.70,2.70,100,0.00,1,100,100.00
TULSI,EQ,2015-07-06,2.70,2.95,2.95,2.70,2.70,2.70,2.91,2900,0.08,7,2100,72.41
TULSI,EQ,2015-07-07,2.70,2.50,2.70,2.50,2.60,2.60,2.59,2820,0.07,9,2820,100.00
TULSI,EQ,2015-07-08,2.60,2.50,2.75,2.50,2.75,2.75,2.64,2095,0.06,9,1275,60.86
TULSI,EQ,2015-07-09,2.75,2.95,2.95,2.80,2.80,2.80,2.81,3312,0.09,8,3312,100.00
TULSI,EQ,2015-07-10,2.80,2.80,2.80,2.80,2.80,2.80,2.80,13111,0.37,8,13111,100.00
TULSI,EQ,2015-07-13,2.80,3.00,3.05,2.80,2.80,2.80,2.97,2030,0.06,7,2029,99.95
TULSI,EQ,2015-07-14,2.80,2.80,2.95,2.80,2.95,2.95,2.88,1908,0.05,8,1908,100.00
TULSI,EQ,2015-07-15,2.95,3.00,3.00,2.70,2.95,2.95,2.71,5750,0.16,10,5615,97.65
TULSI,EQ,2015-07-16,2.95,3.00,3.00,3.00,3.00,3.00,3.00,500,0.02,3,500,100.00
TULSI,EQ,2015-07-17,3.00,2.80,2.85,2.80,2.85,2.85,2.82,3250,0.09,9,3250,100.00
TULSI,EQ,2015-07-21,2.85,2.80,2.80,2.80,2.80,2.80,2.80,26498,0.74,10,26498,100.00
TULSI,EQ,2015-07-22,2.80,2.60,2.60,2.60,2.60,2.60,2.60,750,0.02,2,750,100.00
TULSI,EQ,2015-07-23,2.60,2.55,2.65,2.55,2.65,2.65,2.59,313,0.01,3,313,100.00
TULSI,EQ,2015-07-24,2.65,2.80,2.90,2.80,2.90,2.90,2.88,310,0.01,4,260,83.87
TULSI,EQ,2015-07-27,2.90,2.95,2.95,2.95,2.95,2.95,2.95,75,0.00,1,75,100.00
