Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
UBL,EQ,2014-12-04,844.55,839.85,846.95,824.10,834.00,833.55,834.43,164906,1376.02,6408,44490,26.98
UBL,EQ,2014-12-05,833.55,834.00,855.00,805.50,809.00,816.15,834.86,171965,1435.67,7265,52663,30.62
UBL,EQ,2014-12-08,816.15,816.15,822.00,796.90,802.25,806.80,807.34,103990,839.55,5383,26925,25.89
UBL,EQ,2014-12-09,806.80,802.00,830.00,792.40,819.50,824.20,812.61,179463,1458.33,7539,49751,27.72
UBL,EQ,2014-12-10,824.20,828.70,841.10,810.00,829.00,824.00,828.44,158282,1311.28,6986,58006,36.65
UBL,EQ,2014-12-11,824.00,819.05,831.00,779.80,790.65,793.95,806.84,296050,2388.66,8083,205146,69.29
UBL,EQ,2014-12-12,793.95,797.00,810.00,789.45,797.00,798.45,800.27,111254,890.33,7452,37443,33.66
UBL,EQ,2014-12-15,798.45,790.50,814.95,787.00,794.70,792.75,797.67,74396,593.43,4887,29579,39.76
UBL,EQ,2014-12-16,792.75,784.80,795.95,740.25,744.10,746.10,764.73,130249,996.05,7081,52816,40.55
UBL,EQ,2014-12-17,746.10,741.00,780.00,734.00,775.00,770.80,762.05,168541,1284.37,9404,51272,30.42
UBL,EQ,2014-12-18,770.80,773.00,806.00,773.00,801.00,800.80,796.58,201637,1606.20,7893,100860,50.02
UBL,EQ,2014-12-19,800.80,803.20,822.45,800.00,802.20,809.85,811.25,167737,1360.76,6215,73155,43.61
UBL,EQ,2014-12-22,809.85,805.20,817.40,800.35,817.00,814.45,812.39,105369,856.00,3785,53371,50.65
UBL,EQ,2014-12-23,814.45,814.60,834.45,810.00,818.40,818.05,820.98,159388,1308.54,6112,60660,38.06
UBL,EQ,2014-12-24,818.05,813.25,826.00,795.05,812.00,808.15,810.02,298783,2420.19,9475,170110,56.93
UBL,EQ,2014-12-26,808.15,809.10,828.00,803.30,824.55,824.75,822.34,123715,1017.36,5507,56128,45.37
UBL,EQ,2014-12-29,824.75,831.10,835.00,818.60,832.00,828.45,828.53,81549,675.66,3788,25708,31.52
UBL,EQ,2014-12-30,828.45,823.15,840.00,823.15,832.00,833.15,833.12,66724,555.89,3614,14531,21.78
UBL,EQ,2014-12-31,833.15,834.00,841.90,828.35,835.00,835.40,836.04,81333,679.98,4711,29805,36.65
UBL,EQ,2015-01-01,835.40,834.00,840.95,827.10,833.40,834.60,832.62,38397,319.70,2247,9236,24.05
UBL,EQ,2015-01-02,834.60,836.00,842.00,829.25,833.15,835.60,834.32,62477,521.26,3193,24533,39.27
UBL,EQ,2015-01-05,835.60,840.00,840.00,829.00,829.75,832.90,832.51,72125,600.45,5218,29680,41.15
UBL,EQ,2015-01-06,832.90,831.40,849.00,825.55,831.45,832.45,836.62,230378,1927.39,11358,60855,26.42
