Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
UFO,EQ,2015-05-14,625.00,600.00,622.90,586.00,603.50,597.30,605.57,5136316,31103.83,227773,1641835,31.97
UFO,EQ,2015-05-15,597.30,598.50,620.00,587.05,611.00,611.25,607.21,756299,4592.30,25018,170567,22.55
UFO,EQ,2015-05-18,611.25,613.75,614.80,599.30,603.10,603.30,606.13,160874,975.10,6416,51003,31.70
UFO,EQ,2015-05-19,603.30,605.80,615.00,597.20,605.25,605.60,606.56,159117,965.14,6650,43989,27.65
UFO,EQ,2015-05-20,605.60,605.50,627.95,603.50,604.00,607.15,615.93,419781,2585.54,11261,118775,28.29
UFO,EQ,2015-05-21,607.15,609.40,612.90,588.50,602.85,601.45,601.28,182439,1096.96,7512,66450,36.42
UFO,EQ,2015-05-22,601.45,604.85,605.50,595.00,600.15,600.00,600.45,80077,480.82,2400,43141,53.87
UFO,EQ,2015-05-25,600.00,600.00,600.00,590.00,590.00,591.40,594.92,27146,161.50,1275,11692,43.07
UFO,EQ,2015-05-26,591.40,591.10,599.20,582.10,584.00,584.95,590.10,41243,243.37,1718,18990,46.04
UFO,EQ,2015-05-27,584.95,582.95,595.90,567.30,595.00,586.05,579.65,195021,1130.44,4045,124593,63.89
UFO,EQ,2015-05-28,586.05,590.00,597.10,576.00,580.00,580.50,585.55,37158,217.58,1575,15777,42.46
UFO,EQ,2015-05-29,580.50,580.10,600.00,580.05,586.25,586.45,588.20,82456,485.01,2311,19479,23.62
UFO,EQ,2015-06-01,586.45,585.50,589.05,578.50,586.00,585.00,586.07,61600,361.02,1107,24225,39.33
UFO,EQ,2015-06-02,585.00,585.50,589.00,555.00,562.00,562.25,572.66,86539,495.58,1841,36020,41.62
UFO,EQ,2015-06-03,562.25,564.05,565.80,522.95,536.60,535.95,543.08,96861,526.04,2891,61829,63.83
UFO,EQ,2015-06-04,535.95,536.00,556.50,536.00,554.55,553.45,546.76,96674,528.57,1450,64396,66.61
UFO,EQ,2015-06-05,553.45,554.90,578.50,548.10,577.00,574.60,569.37,78953,449.53,3140,44215,56.00
UFO,EQ,2015-06-08,574.60,560.20,580.00,553.00,553.25,553.75,559.42,67227,376.08,2114,35789,53.24
UFO,EQ,2015-06-09,553.75,556.90,563.00,530.00,559.00,560.90,557.58,46995,262.04,1468,35337,75.19
UFO,EQ,2015-06-10,560.90,562.90,578.00,562.90,572.00,573.45,571.97,48951,279.99,2730,17704,36.17
UFO,EQ,2015-06-11,573.45,574.25,582.00,558.00,559.00,558.30,564.26,148281,836.69,4209,99835,67.33
UFO,EQ,2015-06-12,558.30,554.00,562.00,548.00,553.65,552.00,551.66,20792,114.70,781,16115,77.51
UFO,EQ,2015-06-15,552.00,554.50,560.10,546.00,555.00,555.15,555.77,32017,177.94,552,21559,67.34
UFO,EQ,2015-06-16,555.15,563.00,567.95,553.20,565.00,561.65,559.43,26809,149.98,1079,17275,64.44
UFO,EQ,2015-06-17,561.65,560.40,570.00,558.00,570.00,564.05,563.51,9492,53.49,664,6069,63.94
UFO,EQ,2015-06-18,564.05,565.00,572.70,561.05,564.00,563.95,566.49,9228,52.28,686,4950,53.64
UFO,EQ,2015-06-19,563.95,565.80,573.00,551.10,555.00,556.10,562.92,14500,81.62,994,7194,49.61
UFO,EQ,2015-06-22,556.10,550.00,574.00,550.00,574.00,571.90,567.59,30559,173.45,1186,19128,62.59
UFO,EQ,2015-06-23,571.90,576.55,576.60,563.00,574.90,570.55,568.87,15833,90.07,935,11218,70.85
UFO,EQ,2015-06-24,570.55,573.00,576.50,560.00,570.95,570.30,570.53,27742,158.28,1041,17462,62.94
UFO,EQ,2015-06-25,570.30,566.25,583.90,566.25,573.00,575.00,576.51,16218,93.50,868,5491,33.86
UFO,EQ,2015-06-26,575.00,574.20,578.30,570.15,574.00,574.40,574.28,10545,60.56,409,6155,58.37
UFO,EQ,2015-06-29,574.40,570.05,570.10,553.05,564.70,561.90,560.55,11052,61.95,826,5898,53.37
UFO,EQ,2015-06-30,561.90,561.00,572.90,556.50,571.00,568.80,565.67,15356,86.86,1215,9625,62.68
UFO,EQ,2015-07-01,568.80,569.90,580.00,565.00,565.10,572.25,574.64,30364,174.48,647,25605,84.33
UFO,EQ,2015-07-02,572.25,568.80,591.00,565.00,578.00,578.55,580.11,30595,177.49,1598,18254,59.66
UFO,EQ,2015-07-03,578.55,573.00,585.00,573.00,575.00,575.10,577.70,12805,73.97,587,9678,75.58
UFO,EQ,2015-07-06,575.10,560.00,588.90,560.00,588.00,585.60,578.84,23625,136.75,1174,14615,61.86
UFO,EQ,2015-07-07,585.60,589.00,614.45,584.10,607.90,605.35,606.01,148567,900.34,4048,97833,65.85
UFO,EQ,2015-07-08,605.35,600.00,619.90,594.95,609.00,611.30,611.05,92526,565.38,3020,62790,67.86
UFO,EQ,2015-07-09,611.30,609.00,623.90,605.00,608.80,612.95,616.09,46470,286.30,2208,33230,71.51
UFO,EQ,2015-07-10,612.95,615.00,620.00,601.00,617.80,617.85,615.33,47261,290.81,961,39938,84.51
UFO,EQ,2015-07-13,617.85,590.00,627.70,590.00,619.00,620.55,623.28,64535,402.24,1926,43221,66.97
UFO,EQ,2015-07-14,620.55,621.00,624.40,611.55,612.50,614.30,616.62,45840,282.66,762,36282,79.15
UFO,EQ,2015-07-15,614.30,616.00,624.70,612.50,615.00,616.00,618.12,64512,398.76,1289,43385,67.25
UFO,EQ,2015-07-16,616.00,616.70,622.00,612.50,615.00,616.60,618.73,52278,323.46,889,36815,70.42
UFO,EQ,2015-07-17,616.60,622.00,640.00,622.00,628.00,627.15,631.92,372991,2357.00,8676,207357,55.59
UFO,EQ,2015-07-20,627.15,634.40,636.00,616.00,620.00,618.70,625.20,45536,284.69,1448,31273,68.68
UFO,EQ,2015-07-21,618.70,624.00,626.00,593.95,609.75,607.80,613.54,127088,779.73,1720,107477,84.57
UFO,EQ,2015-07-22,607.80,606.00,628.10,600.00,625.00,625.55,620.06,38450,238.41,1242,23823,61.96
UFO,EQ,2015-07-23,625.55,620.30,630.00,615.55,618.00,616.30,622.46,41541,258.58,1175,22616,54.44
UFO,EQ,2015-07-24,616.30,612.00,622.50,605.50,611.25,618.85,615.17,23057,141.84,1149,16499,71.56
UFO,EQ,2015-07-27,618.85,617.40,618.10,605.75,610.00,610.00,610.03,21643,132.03,589,19985,92.34
UFO,EQ,2015-07-28,610.00,612.55,612.55,602.00,610.00,610.00,608.22,7967,48.46,350,5587,70.13
UFO,EQ,2015-07-29,610.00,608.35,616.70,605.10,610.00,611.10,609.96,9698,59.15,502,7165,73.88
UFO,EQ,2015-07-30,611.10,613.85,615.00,603.10,606.00,604.95,608.33,5756,35.02,348,3489,60.62
UFO,EQ,2015-07-31,604.95,605.55,623.00,605.00,621.00,620.00,616.78,29759,183.55,721,26775,89.97
UFO,EQ,2015-08-03,620.00,625.00,628.15,610.25,620.00,620.15,621.93,13291,82.66,497,8745,65.80
UFO,EQ,2015-08-04,620.15,616.70,642.80,616.70,630.50,629.10,632.57,71289,450.95,2158,52010,72.96
UFO,EQ,2015-08-05,629.10,625.00,633.00,620.00,628.00,629.65,625.70,32430,202.91,1170,24951,76.94
UFO,EQ,2015-08-06,629.65,625.00,629.30,620.00,620.00,620.15,621.50,37459,232.81,950,33041,88.21
UFO,EQ,2015-08-07,620.15,615.05,623.35,608.00,608.35,610.90,617.48,12259,75.70,538,9895,80.72
UFO,EQ,2015-08-10,610.90,596.00,615.00,595.00,599.00,598.55,602.39,16695,100.57,766,11261,67.45
UFO,EQ,2015-08-11,598.55,600.00,608.00,593.00,608.00,605.10,603.89,33614,202.99,791,30006,89.27
UFO,EQ,2015-08-12,605.10,611.75,611.75,586.00,590.00,590.40,595.09,22547,134.17,609,20219,89.67
UFO,EQ,2015-08-13,590.40,628.90,629.00,580.25,586.50,585.70,600.98,19821,119.12,1509,7607,38.38
UFO,EQ,2015-08-14,585.70,581.00,615.00,581.00,609.00,610.80,603.76,12492,75.42,755,9232,73.90
UFO,EQ,2015-08-17,610.80,605.00,612.95,598.20,600.10,601.20,607.76,11605,70.53,338,10152,87.48
UFO,EQ,2015-08-18,601.20,604.65,620.00,601.00,612.20,611.40,609.26,19190,116.92,674,16495,85.96
UFO,EQ,2015-08-19,611.40,612.20,638.00,605.80,627.00,628.50,626.08,44129,276.28,1998,35811,81.15
UFO,EQ,2015-08-20,628.50,627.95,630.00,602.40,620.00,613.90,615.57,30462,187.51,983,16601,54.50
UFO,EQ,2015-08-21,613.90,605.00,624.00,597.00,618.00,614.10,616.77,133379,822.64,2036,84921,63.67
UFO,EQ,2015-08-24,614.10,590.00,608.00,562.95,577.00,580.55,593.26,81392,482.86,1318,63137,77.57
UFO,EQ,2015-08-25,580.55,583.00,594.70,532.55,560.00,560.15,557.13,18880,105.19,992,13117,69.48
UFO,EQ,2015-08-26,560.15,571.75,571.75,545.55,549.00,550.20,558.45,28970,161.78,895,26775,92.42
UFO,EQ,2015-08-27,550.20,553.25,575.95,550.55,570.00,562.40,567.00,9332,52.91,492,6944,74.41
UFO,EQ,2015-08-28,562.40,570.00,579.90,540.25,549.00,549.45,559.27,5903,33.01,500,3556,60.24
UFO,EQ,2015-08-31,549.45,570.00,570.00,546.00,552.50,561.45,553.49,214995,1189.98,4027,167420,77.87
UFO,EQ,2015-09-01,561.45,542.00,570.95,542.00,565.90,565.05,565.13,128284,724.97,987,99612,77.65
UFO,EQ,2015-09-02,565.05,570.00,570.00,556.00,556.00,561.95,562.92,113079,636.54,484,109590,96.91
UFO,EQ,2015-09-03,561.95,556.50,566.00,551.00,553.25,557.55,560.72,2492,13.97,231,1696,68.06
UFO,EQ,2015-09-04,557.55,557.45,560.00,538.35,557.50,557.75,557.07,167869,935.15,724,157328,93.72
UFO,EQ,2015-09-07,557.75,579.00,579.00,535.00,565.00,564.95,566.08,49221,278.63,2951,43323,88.02
UFO,EQ,2015-09-08,564.95,569.00,575.00,556.00,572.00,565.40,565.75,19694,111.42,1331,14162,71.91
UFO,EQ,2015-09-09,565.40,563.35,572.75,562.00,565.00,565.90,565.06,34376,194.24,409,32289,93.93
UFO,EQ,2015-09-10,565.90,541.60,564.00,541.60,554.80,550.55,554.08,3959,21.94,342,2772,70.02
UFO,EQ,2015-09-11,550.55,550.55,568.80,550.55,562.85,564.20,557.66,121568,677.93,505,119304,98.14
UFO,EQ,2015-09-14,564.20,568.15,568.80,544.20,545.10,547.30,553.20,4757,26.32,492,2862,60.16
UFO,EQ,2015-09-15,547.30,545.05,566.25,545.00,565.00,562.55,552.33,56049,309.58,1755,45097,80.46
UFO,EQ,2015-09-16,562.55,560.05,568.90,560.05,566.00,565.30,565.19,2084,11.78,221,1682,80.71
UFO,EQ,2015-09-18,565.30,568.05,575.80,560.00,560.10,565.10,567.24,5661,32.11,478,4035,71.28
UFO,EQ,2015-09-21,565.10,565.45,572.05,563.70,569.00,568.65,567.13,6705,38.03,358,4956,73.91
UFO,EQ,2015-09-22,568.65,562.85,570.30,562.80,569.50,567.00,567.02,3879,21.99,275,2168,55.89
UFO,EQ,2015-09-23,567.00,558.55,569.70,557.05,569.70,567.50,563.33,2183,12.30,252,897,41.09
UFO,EQ,2015-09-24,567.50,565.60,570.00,562.20,568.50,566.55,566.51,3328,18.85,139,2915,87.59
UFO,EQ,2015-09-28,566.55,578.65,578.65,556.00,557.00,558.65,574.07,26147,150.10,242,25085,95.94
UFO,EQ,2015-09-29,558.65,558.00,559.00,549.55,550.25,551.05,557.79,13413,74.82,204,12331,91.93
UFO,EQ,2015-09-30,551.05,559.20,584.00,550.30,558.00,571.85,570.03,61127,348.44,1023,50498,82.61
UFO,EQ,2015-10-01,571.85,570.15,570.15,552.05,552.30,553.65,557.99,3455,19.28,357,2065,59.77
UFO,EQ,2015-10-05,553.65,561.45,562.25,548.00,550.00,549.60,551.19,3818,21.04,285,2894,75.80
UFO,EQ,2015-10-06,549.60,558.95,560.00,546.05,547.05,547.15,549.13,137559,755.37,437,11049,8.03
UFO,EQ,2015-10-07,547.15,550.00,558.00,542.10,542.10,545.20,549.37,2948,16.20,228,1838,62.35
UFO,EQ,2015-10-08,545.20,549.95,549.95,541.00,541.00,542.95,542.99,3659,19.87,164,2789,76.22
UFO,EQ,2015-10-09,542.95,546.35,564.30,543.00,558.10,559.85,551.87,24943,137.65,699,19364,77.63
UFO,EQ,2015-10-12,559.85,561.35,561.90,552.05,553.75,553.25,557.41,3071,17.12,177,1763,57.41
UFO,EQ,2015-10-13,553.25,557.95,557.95,550.00,551.20,551.30,551.72,2553,14.09,138,2279,89.27
UFO,EQ,2015-10-14,551.30,554.95,556.45,548.00,556.45,555.00,554.77,5491,30.46,233,4085,74.39
UFO,EQ,2015-10-15,555.00,550.15,561.00,548.00,550.00,549.00,554.88,7389,41.00,420,5385,72.88
UFO,EQ,2015-10-16,549.00,554.70,554.70,545.00,546.00,545.95,546.02,104934,572.96,322,104103,99.21
UFO,EQ,2015-10-19,545.95,542.00,549.90,541.30,543.00,543.10,543.58,3494,18.99,333,3045,87.15
UFO,EQ,2015-10-20,543.10,540.05,547.10,520.75,538.20,534.85,536.53,10567,56.69,553,9302,88.03
UFO,EQ,2015-10-21,534.85,536.05,550.00,535.00,549.00,544.80,542.73,7743,42.02,806,4024,51.97
UFO,EQ,2015-10-23,544.80,549.35,556.75,536.10,544.00,538.85,547.52,6705,36.71,739,3070,45.79
UFO,EQ,2015-10-26,538.85,538.60,546.55,528.00,532.60,530.35,535.95,6572,35.22,835,3824,58.19
UFO,EQ,2015-10-27,530.35,530.10,534.00,524.00,527.25,527.75,528.33,4011,21.19,418,2432,60.63
UFO,EQ,2015-10-28,527.75,531.25,539.00,524.00,525.00,524.75,530.56,5408,28.69,480,3709,68.58
UFO,EQ,2015-10-29,524.75,528.95,529.00,491.10,498.00,497.80,509.53,12229,62.31,841,11141,91.10
UFO,EQ,2015-10-30,497.80,490.15,564.00,490.15,550.00,549.90,544.28,118707,646.10,5285,34617,29.16
UFO,EQ,2015-11-02,549.90,546.60,547.00,528.45,533.00,532.15,531.37,6970,37.04,393,5114,73.37
UFO,EQ,2015-11-03,532.15,539.45,544.90,530.00,535.00,533.60,533.00,4619,24.62,340,3016,65.30
UFO,EQ,2015-11-04,533.60,543.65,548.90,530.00,530.00,531.45,538.44,3905,21.03,339,2174,55.67
UFO,EQ,2015-11-05,531.45,515.50,538.00,515.50,525.50,526.60,526.80,2051,10.80,295,607,29.60
UFO,EQ,2015-11-06,526.60,528.95,532.35,510.00,515.00,513.35,519.57,2119,11.01,218,1120,52.86
UFO,EQ,2015-11-09,513.35,509.80,518.00,504.95,513.00,510.80,508.67,5119,26.04,364,3090,60.36
UFO,EQ,2015-11-10,510.80,524.95,547.65,516.50,541.25,539.05,535.04,21107,112.93,915,13836,65.55
UFO,EQ,2015-11-11,539.05,545.00,549.00,532.60,544.40,543.10,544.09,1892,10.29,195,684,36.15
UFO,EQ,2015-11-13,543.10,542.90,555.00,542.90,555.00,552.25,550.18,9537,52.47,333,8239,86.39
UFO,EQ,2015-11-16,552.25,545.00,556.50,530.55,553.00,553.15,545.85,5099,27.83,601,2452,48.09
UFO,EQ,2015-11-17,553.15,552.05,555.75,541.25,550.00,551.60,550.35,3362,18.50,352,2172,64.60
UFO,EQ,2015-11-18,551.60,550.75,553.60,543.10,550.00,550.35,550.00,4313,23.72,291,3163,73.34
UFO,EQ,2015-11-19,550.35,550.30,562.00,540.55,561.80,558.90,557.34,12560,70.00,262,11399,90.76
UFO,EQ,2015-11-20,558.90,544.05,558.00,542.10,550.00,549.50,550.24,3019,16.61,234,1895,62.77
UFO,EQ,2015-11-23,549.50,544.15,549.95,538.00,538.00,539.85,543.23,2215,12.03,238,1227,55.40
UFO,EQ,2015-11-24,539.85,549.95,549.95,538.00,545.00,544.10,542.45,2346,12.73,236,1125,47.95
UFO,EQ,2015-11-26,544.10,546.15,546.15,536.15,539.00,539.30,540.18,2665,14.40,184,2423,90.92
UFO,EQ,2015-11-27,539.30,536.00,554.90,531.00,533.35,534.70,535.47,8497,45.50,397,6724,79.13
UFO,EQ,2015-11-30,534.70,531.05,539.00,521.00,536.00,532.80,534.07,3169,16.92,356,1818,57.37
UFO,EQ,2015-12-01,532.80,539.00,539.65,531.00,536.00,534.65,534.36,2400,12.82,286,1283,53.46
UFO,EQ,2015-12-02,534.65,534.10,559.00,532.00,553.60,552.10,549.42,10956,60.19,642,8201,74.85
UFO,EQ,2015-12-03,552.10,542.15,562.00,542.10,560.00,560.10,558.87,17417,97.34,706,15705,90.17
UFO,EQ,2015-12-04,560.10,545.05,565.95,545.05,560.00,561.30,559.95,12098,67.74,1730,9480,78.36
