Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
UJJIVAN,EQ,2016-05-10,210.00,231.90,244.65,216.65,233.20,231.55,234.55,48259329,113193.89,405203,14004848,29.02
UJJIVAN,EQ,2016-05-11,231.55,230.00,239.80,227.10,235.00,234.75,235.68,5224937,12314.36,53409,1496136,28.63
UJJIVAN,EQ,2016-05-12,234.75,235.45,244.50,234.65,244.10,243.45,240.43,5095264,12250.31,79756,1882155,36.94
UJJIVAN,EQ,2016-05-13,243.45,245.30,253.70,243.00,252.00,251.70,249.70,7194162,17964.17,70903,3040553,42.26
UJJIVAN,EQ,2016-05-16,251.70,252.00,258.90,252.00,258.90,257.95,256.39,4104108,10522.46,38096,1785878,43.51
UJJIVAN,EQ,2016-05-17,257.95,259.00,261.05,256.60,260.70,260.15,259.32,2393983,6208.04,26381,987344,41.24
UJJIVAN,EQ,2016-05-18,260.15,259.40,259.45,255.00,258.05,257.50,256.89,1079731,2773.68,11685,530670,49.15
UJJIVAN,EQ,2016-05-19,257.50,256.30,267.30,256.30,266.60,266.35,263.29,3172233,8352.15,26448,1521092,47.95
UJJIVAN,EQ,2016-05-20,266.35,267.90,268.75,260.20,261.95,262.00,263.73,1226074,3233.51,13251,499198,40.72
UJJIVAN,EQ,2016-05-23,262.00,262.50,263.50,256.55,257.20,257.15,259.47,681504,1768.32,6281,347455,50.98
UJJIVAN,EQ,2016-05-24,257.15,257.50,257.85,253.10,256.00,255.20,254.70,526804,1341.76,7136,253559,48.13
UJJIVAN,EQ,2016-05-25,255.20,257.00,272.90,255.25,272.90,265.85,264.93,3008306,7969.79,29279,922753,30.67
UJJIVAN,EQ,2016-05-26,265.85,276.00,308.35,275.55,296.90,298.40,296.32,9673356,28663.94,110778,2410021,24.91
UJJIVAN,EQ,2016-05-27,298.40,298.40,299.35,287.65,293.90,292.95,292.54,2283477,6680.14,35173,878358,38.47
UJJIVAN,EQ,2016-05-30,292.95,294.70,316.80,292.50,313.50,314.70,308.84,4621299,14272.40,67583,963620,20.85
UJJIVAN,EQ,2016-05-31,314.70,314.45,322.25,306.60,315.45,317.00,316.72,2944559,9326.02,44001,650536,22.09
UJJIVAN,EQ,2016-06-01,317.00,317.45,324.80,312.20,313.00,313.90,319.62,2414074,7715.80,29674,720952,29.86
UJJIVAN,EQ,2016-06-02,313.90,314.10,338.35,312.40,338.00,333.70,326.46,3861555,12606.52,41936,1042738,27.00
UJJIVAN,EQ,2016-06-03,333.70,339.95,400.40,338.35,381.55,382.55,379.40,15700004,59565.05,165154,2615026,16.66
UJJIVAN,EQ,2016-06-06,382.55,386.70,386.70,328.30,344.50,342.85,345.98,13281767,45951.71,150697,2691506,20.26
UJJIVAN,EQ,2016-06-07,342.85,346.00,371.50,344.50,355.00,354.85,358.53,7721640,27684.71,114249,2094841,27.13
UJJIVAN,EQ,2016-06-08,354.85,359.35,364.90,354.30,363.45,362.00,360.41,3508292,12644.07,61129,966153,27.54
UJJIVAN,EQ,2016-06-09,362.00,363.85,369.45,358.40,365.20,365.70,364.89,2997159,10936.34,47897,915352,30.54
UJJIVAN,EQ,2016-06-10,365.70,364.90,379.70,363.00,366.55,367.55,372.57,3673263,13685.43,45825,676433,18.42
UJJIVAN,EQ,2016-06-13,367.55,364.50,369.35,358.15,360.80,361.20,363.12,1983763,7203.45,42506,610512,30.78
UJJIVAN,EQ,2016-06-14,361.20,363.05,388.90,360.40,378.10,378.65,376.38,6204382,23352.28,84413,1355274,21.84
UJJIVAN,EQ,2016-06-15,378.65,380.25,397.50,380.25,392.50,392.15,391.65,5229803,20482.37,77007,1062967,20.33
UJJIVAN,EQ,2016-06-16,392.15,378.00,391.20,372.55,375.20,377.50,382.36,3986771,15243.92,52976,647643,16.24
UJJIVAN,EQ,2016-06-17,377.50,381.00,386.85,372.15,375.45,375.70,379.28,1266619,4804.00,18380,249407,19.69
UJJIVAN,EQ,2016-06-20,375.70,369.85,382.90,367.95,378.50,376.95,376.94,1486035,5601.51,21994,244343,16.44
UJJIVAN,EQ,2016-06-21,376.95,379.80,381.50,368.30,371.00,370.60,375.15,1120159,4202.32,17812,294421,26.28
UJJIVAN,EQ,2016-06-22,370.60,372.95,380.00,367.15,368.55,369.30,372.63,1407552,5244.91,18912,230454,16.37
UJJIVAN,EQ,2016-06-23,369.30,370.00,377.00,364.40,372.50,373.00,371.63,1092596,4060.36,14975,230079,21.06
UJJIVAN,EQ,2016-06-24,373.00,355.00,377.25,341.35,375.15,373.45,358.40,3234925,11594.11,38627,982790,30.38
UJJIVAN,EQ,2016-06-27,373.45,375.95,387.80,375.00,379.00,378.80,381.59,1623585,6195.47,22300,454716,28.01
UJJIVAN,EQ,2016-06-28,378.80,380.75,383.90,376.15,377.00,376.95,379.13,747418,2833.68,10265,211883,28.35
UJJIVAN,EQ,2016-06-29,376.95,379.45,407.35,379.00,401.50,400.30,397.75,6296990,25046.44,77684,1156245,18.36
UJJIVAN,EQ,2016-06-30,400.30,404.40,414.60,396.50,401.00,398.75,406.44,3262752,13261.22,38691,700970,21.48
