Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ULTRACEMCO,EQ,2014-12-04,2474.10,2480.00,2484.00,2455.00,2468.00,2464.65,2463.11,119759,2949.80,10989,85272,71.20
ULTRACEMCO,EQ,2014-12-05,2464.65,2460.00,2514.00,2460.00,2488.00,2485.25,2496.28,105258,2627.54,12418,53615,50.94
ULTRACEMCO,EQ,2014-12-08,2485.25,2492.00,2525.00,2478.85,2506.00,2512.10,2506.51,99526,2494.63,15180,55866,56.13
ULTRACEMCO,EQ,2014-12-09,2512.10,2503.35,2511.75,2465.60,2481.50,2481.75,2479.09,139771,3465.05,23139,108052,77.31
ULTRACEMCO,EQ,2014-12-10,2481.75,2468.00,2524.85,2461.00,2524.60,2515.75,2506.37,150389,3769.31,19782,113659,75.58
ULTRACEMCO,EQ,2014-12-11,2515.75,2505.10,2541.65,2468.25,2485.00,2484.45,2519.41,122538,3087.24,13144,64110,52.32
ULTRACEMCO,EQ,2014-12-12,2484.45,2490.00,2525.45,2490.00,2525.45,2511.50,2509.24,119439,2997.01,12420,77357,64.77
ULTRACEMCO,EQ,2014-12-15,2511.50,2517.00,2572.00,2488.05,2548.95,2536.70,2533.83,152979,3876.23,18419,87571,57.24
ULTRACEMCO,EQ,2014-12-16,2536.70,2534.00,2560.00,2480.00,2485.00,2484.85,2491.61,134938,3362.13,18597,77852,57.69
ULTRACEMCO,EQ,2014-12-17,2484.85,2487.00,2517.80,2430.90,2442.00,2439.30,2460.92,160929,3960.33,16802,97069,60.32
ULTRACEMCO,EQ,2014-12-18,2439.30,2457.00,2465.00,2418.80,2430.45,2446.55,2436.95,110961,2704.06,9499,57145,51.50
ULTRACEMCO,EQ,2014-12-19,2446.55,2450.30,2514.70,2450.00,2502.40,2498.35,2491.49,157752,3930.38,17362,93486,59.26
ULTRACEMCO,EQ,2014-12-22,2498.35,2503.20,2529.95,2498.05,2518.00,2517.00,2509.32,64915,1628.93,6865,33598,51.76
ULTRACEMCO,EQ,2014-12-23,2517.00,2518.00,2550.00,2516.00,2550.00,2544.50,2532.75,114878,2909.57,8274,60968,53.07
ULTRACEMCO,EQ,2014-12-24,2544.50,2590.00,2664.00,2572.10,2615.85,2620.55,2630.38,873801,22984.29,46628,464469,53.16
