Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
UPERGANGES,EQ,2014-12-04,38.55,38.55,38.55,38.55,38.55,38.55,38.55,100,0.04,2,100,100.00
UPERGANGES,EQ,2014-12-05,38.55,39.80,41.00,39.00,39.00,39.00,40.65,3198,1.30,11,3098,96.87
UPERGANGES,EQ,2014-12-08,39.00,38.25,38.45,38.20,38.45,38.30,38.30,150,0.06,3,100,66.67
UPERGANGES,EQ,2014-12-09,38.30,36.60,40.00,34.85,36.75,36.75,38.13,1050,0.40,21,600,57.14
UPERGANGES,EQ,2014-12-10,36.75,39.80,39.80,39.80,39.80,39.80,39.80,100,0.04,1,100,100.00
UPERGANGES,EQ,2014-12-11,39.80,43.00,43.00,40.05,41.85,41.90,42.52,1990,0.85,26,1555,78.14
UPERGANGES,EQ,2014-12-12,41.90,43.70,43.70,37.10,37.10,37.10,38.19,485,0.19,35,455,93.81
UPERGANGES,EQ,2014-12-15,37.10,35.60,38.50,35.60,37.50,37.50,37.84,1680,0.64,74,973,57.92
UPERGANGES,EQ,2014-12-17,37.50,36.10,36.10,36.00,36.00,36.00,36.04,80,0.03,2,80,100.00
UPERGANGES,EQ,2014-12-18,36.00,39.80,39.80,39.80,39.80,39.80,39.80,10,0.00,1,10,100.00
UPERGANGES,EQ,2014-12-19,39.80,37.60,38.00,37.15,37.95,37.95,37.76,793,0.30,18,632,79.70
UPERGANGES,EQ,2014-12-22,37.95,37.20,37.20,37.20,37.20,37.20,37.20,200,0.07,2,200,100.00
UPERGANGES,EQ,2014-12-23,37.20,41.85,41.85,38.10,39.75,39.75,39.26,1157,0.45,16,656,56.70
UPERGANGES,EQ,2014-12-24,39.75,39.60,39.60,39.60,39.60,39.60,39.60,15,0.01,2,10,66.67
UPERGANGES,EQ,2014-12-26,39.60,39.00,40.00,38.30,38.30,38.30,39.10,300,0.12,4,300,100.00
UPERGANGES,EQ,2014-12-29,38.30,38.20,38.20,37.60,38.05,38.05,38.08,452,0.17,9,450,99.56
UPERGANGES,EQ,2014-12-30,38.05,38.00,38.00,36.05,36.35,36.85,37.12,1877,0.70,20,1450,77.25
UPERGANGES,EQ,2014-12-31,36.85,37.15,37.15,37.00,37.15,37.15,37.06,300,0.11,4,300,100.00
UPERGANGES,EQ,2015-01-02,37.15,37.55,41.95,37.50,37.50,37.50,38.88,6196,2.41,43,3965,63.99
UPERGANGES,EQ,2015-01-05,37.50,39.00,39.00,37.20,37.60,37.60,38.56,2758,1.06,13,2000,72.52
UPERGANGES,EQ,2015-01-06,37.60,38.00,39.60,38.00,38.20,38.20,38.53,984,0.38,13,665,67.58
UPERGANGES,EQ,2015-01-07,38.20,36.90,40.00,36.90,40.00,40.00,39.25,1620,0.64,13,1110,68.52
UPERGANGES,EQ,2015-01-08,40.00,48.00,48.00,38.10,38.60,38.45,38.46,1018,0.39,21,933,91.65
UPERGANGES,EQ,2015-01-09,38.45,38.00,38.00,38.00,38.00,38.00,38.00,10,0.00,1,10,100.00
UPERGANGES,EQ,2015-01-12,38.00,38.75,41.90,38.75,41.90,41.90,39.83,4198,1.67,46,3698,88.09
UPERGANGES,EQ,2015-01-13,41.90,39.60,41.30,37.75,38.10,38.20,38.80,8442,3.28,59,4440,52.59
UPERGANGES,EQ,2015-01-14,38.20,38.50,40.25,37.10,37.10,38.10,37.97,481,0.18,9,340,70.69
UPERGANGES,EQ,2015-01-15,38.10,37.10,39.00,37.10,39.00,38.90,38.36,660,0.25,6,660,100.00
UPERGANGES,EQ,2015-01-16,38.90,38.50,39.90,38.05,38.30,38.30,38.76,1311,0.51,12,806,61.48
UPERGANGES,EQ,2015-01-19,38.30,39.25,41.20,36.50,40.35,40.35,39.43,5523,2.18,35,1560,28.25
UPERGANGES,EQ,2015-01-20,40.35,39.10,39.10,38.20,38.70,38.70,39.02,1653,0.64,12,1652,99.94
UPERGANGES,EQ,2015-01-21,38.70,38.90,42.60,37.60,40.00,39.75,39.41,6609,2.60,50,4794,72.54
UPERGANGES,EQ,2015-01-22,39.75,40.00,40.00,38.60,39.90,39.90,39.59,810,0.32,3,810,100.00
UPERGANGES,EQ,2015-01-23,39.90,39.90,39.90,38.00,38.15,38.15,38.22,834,0.32,10,832,99.76
UPERGANGES,EQ,2015-01-27,38.15,39.00,43.50,39.00,43.25,42.90,42.78,3417,1.46,24,2740,80.19
UPERGANGES,EQ,2015-01-28,42.90,43.00,43.00,39.55,39.55,39.55,40.31,4518,1.82,31,3445,76.25
UPERGANGES,EQ,2015-01-29,39.55,39.55,42.40,38.05,38.05,39.00,38.67,4913,1.90,19,3901,79.40
UPERGANGES,EQ,2015-01-30,39.00,37.00,44.95,36.65,38.35,37.60,38.28,991,0.38,25,882,89.00
UPERGANGES,EQ,2015-02-02,37.60,37.00,37.45,35.80,35.85,36.55,36.36,6624,2.41,60,6073,91.68
UPERGANGES,EQ,2015-02-03,36.55,36.50,36.70,35.50,36.70,35.70,36.09,2990,1.08,19,2880,96.32
UPERGANGES,EQ,2015-02-04,35.70,36.00,36.60,33.65,33.65,34.25,34.88,2918,1.02,23,2806,96.16
UPERGANGES,EQ,2015-02-05,34.25,36.50,36.50,33.50,34.60,34.50,34.36,4880,1.68,31,3253,66.66
UPERGANGES,EQ,2015-02-06,34.50,34.50,34.50,34.50,34.50,34.50,34.50,200,0.07,3,200,100.00
UPERGANGES,EQ,2015-02-09,34.50,33.00,36.00,33.00,36.00,35.50,34.92,106,0.04,8,105,99.06
UPERGANGES,EQ,2015-02-10,35.50,36.00,36.00,34.10,34.65,34.50,34.74,1651,0.57,11,1450,87.83
UPERGANGES,EQ,2015-02-11,34.50,34.00,35.50,27.60,34.00,34.00,32.36,7045,2.28,50,2745,38.96
UPERGANGES,EQ,2015-02-12,34.00,34.00,34.00,33.60,33.60,33.80,33.91,775,0.26,8,775,100.00
UPERGANGES,EQ,2015-02-13,33.80,32.65,33.95,32.60,33.25,33.25,32.94,885,0.29,12,680,76.84
UPERGANGES,EQ,2015-02-16,33.25,32.50,33.10,31.05,32.30,32.30,32.28,3308,1.07,29,2210,66.81
UPERGANGES,EQ,2015-02-18,32.30,32.30,35.00,32.30,34.75,34.90,34.01,16791,5.71,47,13011,77.49
UPERGANGES,EQ,2015-02-19,34.90,33.60,34.50,33.00,34.00,34.45,34.43,2255,0.78,6,2254,99.96
UPERGANGES,EQ,2015-02-20,34.45,35.00,37.40,33.25,37.40,36.85,36.44,6081,2.22,33,5886,96.79
UPERGANGES,EQ,2015-02-23,36.85,36.00,36.00,36.00,36.00,36.00,36.00,5,0.00,1,5,100.00
UPERGANGES,EQ,2015-02-24,36.00,36.00,36.00,33.60,36.00,35.90,35.82,2508,0.90,22,2403,95.81
UPERGANGES,EQ,2015-02-25,35.90,34.60,34.60,34.10,34.25,34.25,34.17,1169,0.40,6,800,68.43
UPERGANGES,EQ,2015-02-26,34.25,34.00,34.00,34.00,34.00,34.00,34.00,41,0.01,3,40,97.56
UPERGANGES,EQ,2015-02-27,34.00,33.10,35.35,33.10,34.00,34.00,34.24,4750,1.63,11,2250,47.37
UPERGANGES,EQ,2015-02-28,34.00,33.00,34.50,33.00,34.50,34.50,33.75,400,0.14,2,200,50.00
UPERGANGES,EQ,2015-03-02,34.50,34.50,34.50,34.50,34.50,34.50,34.50,1,0.00,1,1,100.00
UPERGANGES,EQ,2015-03-03,34.50,35.70,35.70,33.55,33.55,33.55,34.20,611,0.21,5,601,98.36
UPERGANGES,EQ,2015-03-04,33.55,34.00,34.00,32.50,32.50,32.50,33.59,1726,0.58,16,1726,100.00
UPERGANGES,EQ,2015-03-05,32.50,32.00,32.80,31.10,32.00,31.95,31.71,1499,0.48,23,1273,84.92
UPERGANGES,EQ,2015-03-09,31.95,32.70,34.00,31.30,31.30,31.30,32.31,1968,0.64,15,1964,99.80
UPERGANGES,EQ,2015-03-10,31.30,32.00,33.00,32.00,33.00,32.80,32.49,1590,0.52,11,1490,93.71
UPERGANGES,EQ,2015-03-11,32.80,32.00,32.50,32.00,32.00,32.05,32.08,3762,1.21,11,3762,100.00
UPERGANGES,EQ,2015-03-12,32.05,32.00,33.95,32.00,33.95,33.45,33.30,2818,0.94,18,2808,99.65
UPERGANGES,EQ,2015-03-13,33.45,32.65,35.50,32.65,35.20,35.20,33.87,28826,9.76,15,28765,99.79
UPERGANGES,EQ,2015-03-16,35.20,42.20,42.20,42.00,42.20,42.20,42.20,21477,9.06,98,20968,97.63
UPERGANGES,EQ,2015-03-17,42.20,46.50,46.50,39.40,42.05,42.60,43.01,51560,22.18,286,37134,72.02
UPERGANGES,EQ,2015-03-18,42.60,43.60,43.60,41.55,42.95,42.45,42.43,8557,3.63,39,6496,75.91
UPERGANGES,EQ,2015-03-19,42.45,43.75,43.75,40.60,42.45,41.75,42.11,10452,4.40,41,6810,65.15
UPERGANGES,EQ,2015-03-20,41.75,41.00,41.80,40.00,40.00,40.00,41.08,15028,6.17,30,9457,62.93
UPERGANGES,EQ,2015-03-23,40.00,39.00,40.60,38.00,39.00,39.00,39.99,3284,1.31,21,1753,53.38
UPERGANGES,EQ,2015-03-24,39.00,38.00,38.10,38.00,38.10,38.10,38.02,270,0.10,4,235,87.04
UPERGANGES,EQ,2015-03-25,38.10,37.30,40.70,37.30,40.70,40.70,38.32,21629,8.29,9,20910,96.68
UPERGANGES,EQ,2015-03-26,40.70,37.20,40.00,37.20,39.85,39.80,38.31,3305,1.27,41,2313,69.98
UPERGANGES,EQ,2015-03-27,39.80,41.40,41.40,36.05,36.30,36.40,37.57,4372,1.64,50,2300,52.61
UPERGANGES,EQ,2015-03-30,36.40,39.25,39.65,39.00,39.00,39.00,39.16,350,0.14,3,350,100.00
UPERGANGES,EQ,2015-03-31,39.00,38.00,39.45,36.55,37.00,37.00,37.75,1039,0.39,17,891,85.76
UPERGANGES,EQ,2015-04-01,37.00,36.65,39.60,36.65,39.60,39.30,38.10,817,0.31,10,567,69.40
UPERGANGES,EQ,2015-04-06,39.30,38.35,38.35,37.25,38.00,37.65,37.99,1000,0.38,4,800,80.00
UPERGANGES,EQ,2015-04-07,37.65,38.05,38.50,38.05,38.05,38.05,38.27,1300,0.50,11,850,65.38
UPERGANGES,EQ,2015-04-08,38.05,38.10,40.25,38.10,38.65,38.65,39.48,1906,0.75,28,1381,72.46
UPERGANGES,EQ,2015-04-09,38.65,38.60,38.60,36.10,36.95,36.95,37.31,5709,2.13,30,5508,96.48
UPERGANGES,EQ,2015-04-10,36.95,38.10,39.70,37.65,39.70,39.70,38.88,12992,5.05,14,6521,50.19
UPERGANGES,EQ,2015-04-13,39.70,39.50,39.50,37.20,37.35,37.30,38.37,1518,0.58,40,787,51.84
UPERGANGES,EQ,2015-04-15,37.30,37.30,42.50,37.30,40.00,40.60,41.14,1884,0.78,19,1394,73.99
UPERGANGES,EQ,2015-04-16,40.60,39.00,39.00,38.30,38.30,38.30,38.38,1582,0.61,11,1502,94.94
UPERGANGES,EQ,2015-04-17,38.30,39.00,39.50,37.10,38.20,38.85,37.94,5558,2.11,21,3130,56.32
UPERGANGES,EQ,2015-04-20,38.85,38.90,39.80,38.75,38.75,38.75,39.34,7010,2.76,12,3555,50.71
UPERGANGES,EQ,2015-04-21,38.75,38.10,40.00,38.10,38.50,38.50,38.68,460,0.18,22,100,21.74
UPERGANGES,EQ,2015-04-23,38.50,38.00,38.00,38.00,38.00,38.00,38.00,900,0.34,1,900,100.00
UPERGANGES,EQ,2015-04-24,38.00,37.00,37.10,36.05,37.10,37.10,36.91,173,0.06,10,145,83.82
UPERGANGES,EQ,2015-04-27,37.10,40.00,40.00,36.10,37.70,37.10,38.62,1955,0.75,14,1586,81.13
UPERGANGES,EQ,2015-04-28,37.10,37.00,38.50,36.05,37.60,37.60,37.06,145,0.05,6,140,96.55
UPERGANGES,EQ,2015-04-29,37.60,37.00,38.00,36.20,38.00,36.45,36.44,100,0.04,7,83,83.00
UPERGANGES,EQ,2015-04-30,36.45,37.00,37.00,36.00,36.25,36.25,36.22,671,0.24,11,670,99.85
UPERGANGES,EQ,2015-05-04,36.25,37.00,37.00,36.50,37.00,36.55,36.90,234,0.09,8,228,97.44
UPERGANGES,EQ,2015-05-05,36.55,38.00,38.00,36.70,36.70,36.70,37.80,1250,0.47,6,1064,85.12
UPERGANGES,EQ,2015-05-06,36.70,37.00,38.95,36.50,36.50,36.85,37.19,1709,0.64,23,1290,75.48
UPERGANGES,EQ,2015-05-07,36.85,36.05,36.05,31.00,31.00,32.05,33.96,3149,1.07,39,2624,83.33
UPERGANGES,EQ,2015-05-08,32.05,35.50,38.40,33.65,35.05,36.85,36.32,3236,1.18,36,2234,69.04
UPERGANGES,EQ,2015-05-11,36.85,38.65,38.65,34.60,35.90,35.10,35.23,1764,0.62,20,980,55.56
UPERGANGES,EQ,2015-05-12,35.10,37.00,37.00,37.00,37.00,37.00,37.00,1,0.00,1,1,100.00
UPERGANGES,EQ,2015-05-13,37.00,34.10,36.80,32.00,33.80,33.25,33.44,2504,0.84,55,1301,51.96
UPERGANGES,EQ,2015-05-14,33.25,37.00,37.00,34.50,34.50,34.50,35.67,319,0.11,9,224,70.22
UPERGANGES,EQ,2015-05-15,34.50,34.00,34.00,34.00,34.00,34.00,34.00,101,0.03,4,100,99.01
UPERGANGES,EQ,2015-05-19,34.00,36.00,36.70,33.50,33.50,33.80,35.24,948,0.33,11,891,93.99
UPERGANGES,EQ,2015-05-20,33.80,39.95,39.95,33.20,37.35,37.25,38.54,9385,3.62,79,5419,57.74
UPERGANGES,EQ,2015-05-21,37.25,37.70,38.45,35.55,36.95,36.95,36.50,643,0.23,15,425,66.10
UPERGANGES,EQ,2015-05-22,36.95,36.65,36.65,35.50,35.50,35.65,35.70,871,0.31,14,479,54.99
UPERGANGES,EQ,2015-05-25,35.65,35.60,35.60,35.60,35.60,35.60,35.60,42,0.01,5,42,100.00
UPERGANGES,EQ,2015-05-26,35.60,37.00,37.00,36.55,36.55,36.55,36.93,1184,0.44,5,1184,100.00
UPERGANGES,EQ,2015-05-28,36.55,34.00,36.40,33.00,36.40,36.40,33.55,324,0.11,20,219,67.59
UPERGANGES,EQ,2015-05-29,36.40,34.00,38.95,32.60,38.95,38.95,35.38,1559,0.55,21,1022,65.55
UPERGANGES,EQ,2015-06-01,38.95,37.70,40.45,34.50,36.55,36.45,35.96,1241,0.45,26,672,54.15
UPERGANGES,EQ,2015-06-03,36.45,37.80,37.80,29.20,31.30,32.10,30.89,25948,8.02,91,16505,63.61
UPERGANGES,EQ,2015-06-04,32.10,32.00,32.80,31.50,31.75,32.10,32.01,5051,1.62,32,4964,98.28
UPERGANGES,EQ,2015-06-05,32.10,32.90,32.90,32.80,32.80,32.80,32.86,101,0.03,2,101,100.00
UPERGANGES,EQ,2015-06-08,32.80,34.00,34.00,31.30,31.70,31.80,32.16,2959,0.95,36,1302,44.00
UPERGANGES,EQ,2015-06-09,31.80,32.20,36.80,30.80,34.90,34.65,34.74,19136,6.65,159,11666,60.96
UPERGANGES,EQ,2015-06-10,34.65,35.90,37.25,33.10,33.15,34.00,34.79,1384,0.48,32,1079,77.96
UPERGANGES,EQ,2015-06-11,34.00,35.45,36.30,32.55,34.50,34.50,33.66,1439,0.48,30,818,56.85
UPERGANGES,EQ,2015-06-12,34.50,33.00,34.90,32.80,32.90,33.50,33.68,2104,0.71,26,108,5.13
UPERGANGES,EQ,2015-06-15,33.50,32.65,34.45,32.65,34.45,34.45,33.39,359,0.12,5,184,51.25
UPERGANGES,EQ,2015-06-16,34.45,34.90,34.90,34.90,34.90,34.90,34.90,10,0.00,1,10,100.00
UPERGANGES,EQ,2015-06-17,34.90,33.00,34.00,33.00,34.00,34.00,33.01,103,0.03,4,100,97.09
UPERGANGES,EQ,2015-06-18,34.00,33.10,34.95,33.10,34.90,34.90,34.05,74,0.03,4,35,47.30
UPERGANGES,EQ,2015-06-19,34.90,35.00,35.00,33.35,33.35,33.35,34.28,226,0.08,8,205,90.71
UPERGANGES,EQ,2015-06-22,33.35,32.65,34.95,31.35,32.45,32.50,32.57,3258,1.06,24,2096,64.33
UPERGANGES,EQ,2015-06-23,32.50,32.70,34.95,32.60,34.95,34.95,32.70,1051,0.34,6,1000,95.15
UPERGANGES,EQ,2015-06-24,34.95,33.00,34.30,33.00,34.30,34.30,33.09,150,0.05,4,140,93.33
UPERGANGES,EQ,2015-06-25,34.30,34.00,37.95,32.25,34.60,34.25,33.87,2876,0.97,31,1320,45.90
UPERGANGES,EQ,2015-06-26,34.25,36.85,36.85,33.00,34.85,34.85,33.84,902,0.31,8,500,55.43
UPERGANGES,EQ,2015-06-29,34.85,33.70,33.70,33.70,33.70,33.70,33.70,21,0.01,3,20,95.24
UPERGANGES,EQ,2015-06-30,33.70,37.00,37.00,32.10,32.25,32.25,33.62,1006,0.34,11,1000,99.40
UPERGANGES,EQ,2015-07-01,32.25,32.90,37.70,32.90,34.95,34.95,34.48,1502,0.52,10,990,65.91
UPERGANGES,EQ,2015-07-02,34.95,33.70,36.70,33.05,35.20,35.10,34.46,1326,0.46,11,1125,84.84
UPERGANGES,EQ,2015-07-03,35.10,33.75,35.25,33.25,35.25,35.25,33.45,126,0.04,10,120,95.24
UPERGANGES,EQ,2015-07-06,35.25,35.25,38.75,32.40,35.20,35.20,34.97,2580,0.90,25,2159,83.68
UPERGANGES,EQ,2015-07-07,35.20,34.50,36.60,34.00,36.15,36.15,34.38,1364,0.47,17,1331,97.58
UPERGANGES,EQ,2015-07-08,36.15,35.00,35.00,34.00,34.05,34.05,34.56,2711,0.94,19,1650,60.86
UPERGANGES,EQ,2015-07-09,34.05,34.20,34.20,34.20,34.20,34.20,34.20,104,0.04,3,104,100.00
UPERGANGES,EQ,2015-07-10,34.20,34.20,35.85,33.85,35.55,34.60,34.44,1191,0.41,14,1170,98.24
UPERGANGES,EQ,2015-07-13,34.60,34.00,35.35,33.05,34.05,34.05,34.79,798,0.28,8,797,99.87
UPERGANGES,EQ,2015-07-14,34.05,33.20,36.00,33.20,35.80,35.80,35.12,5575,1.96,45,3972,71.25
UPERGANGES,EQ,2015-07-15,35.80,35.80,39.00,35.05,39.00,38.20,36.91,8290,3.06,86,5430,65.50
