Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
V2RETAIL,BE,2014-12-04,45.15,45.00,46.95,44.00,45.60,44.90,45.30,28056,12.71,152,-,-
V2RETAIL,BE,2014-12-05,44.90,45.45,46.00,43.00,43.80,43.35,44.65,34918,15.59,141,-,-
V2RETAIL,BE,2014-12-08,43.35,44.00,44.90,41.50,43.35,42.65,42.86,39018,16.72,135,-,-
V2RETAIL,BE,2014-12-09,42.65,43.00,43.50,41.00,41.50,41.35,42.26,23473,9.92,120,-,-
V2RETAIL,BE,2014-12-10,41.35,39.50,42.15,39.50,41.00,41.00,41.19,33652,13.86,217,-,-
V2RETAIL,BE,2014-12-11,41.00,40.10,42.80,40.00,42.75,42.05,41.51,34081,14.15,133,-,-
V2RETAIL,BE,2014-12-12,42.05,43.00,44.15,43.00,44.15,44.15,43.94,16002,7.03,88,-,-
V2RETAIL,BE,2014-12-15,44.15,46.35,46.35,43.30,45.45,45.10,45.82,77829,35.66,296,-,-
V2RETAIL,BE,2014-12-16,45.10,43.00,43.30,42.85,42.85,42.85,42.87,11939,5.12,64,-,-
V2RETAIL,BE,2014-12-17,42.85,40.75,44.95,40.75,42.20,41.65,41.66,54497,22.70,198,-,-
V2RETAIL,BE,2014-12-18,41.65,43.40,43.70,42.10,42.20,42.35,43.32,25758,11.16,108,-,-
V2RETAIL,BE,2014-12-19,42.35,42.35,42.95,41.50,41.80,42.25,42.14,21699,9.14,139,-,-
V2RETAIL,BE,2014-12-22,42.25,41.05,42.65,41.00,41.00,41.10,41.35,9864,4.08,59,-,-
V2RETAIL,BE,2014-12-23,41.10,40.60,42.30,40.60,40.75,40.85,41.21,11122,4.58,95,-,-
V2RETAIL,BE,2014-12-24,40.85,39.85,42.50,39.60,42.50,41.80,40.99,19598,8.03,102,-,-
V2RETAIL,BE,2014-12-26,41.80,40.25,43.00,40.25,42.20,42.10,41.65,16515,6.88,74,-,-
V2RETAIL,BE,2014-12-29,42.10,42.70,42.75,41.00,41.05,41.35,42.02,24849,10.44,201,-,-
V2RETAIL,BE,2014-12-30,41.35,40.10,42.25,40.10,41.00,41.05,41.19,9034,3.72,88,-,-
V2RETAIL,BE,2014-12-31,41.05,41.00,41.65,40.60,41.00,40.90,41.04,10473,4.30,75,-,-
V2RETAIL,BE,2015-01-01,40.90,41.85,41.85,40.10,40.95,41.10,40.77,7666,3.13,59,-,-
V2RETAIL,BE,2015-01-02,41.10,41.15,42.00,41.10,41.35,41.40,41.44,12053,4.99,80,-,-
V2RETAIL,BE,2015-01-05,41.40,42.95,42.95,40.00,40.00,40.30,40.69,20771,8.45,124,-,-
V2RETAIL,BE,2015-01-06,40.30,40.15,41.00,38.30,39.00,38.85,39.37,26836,10.57,150,-,-
V2RETAIL,BE,2015-01-07,38.85,39.00,39.90,37.50,39.20,39.10,39.03,20248,7.90,120,-,-
V2RETAIL,BE,2015-01-08,39.10,38.70,40.80,37.35,38.80,39.05,39.20,16994,6.66,116,-,-
V2RETAIL,BE,2015-01-09,39.05,39.05,39.80,37.10,37.10,37.15,37.78,48019,18.14,178,-,-
V2RETAIL,BE,2015-01-12,37.15,37.20,39.00,35.60,39.00,39.00,37.27,22834,8.51,153,-,-
V2RETAIL,BE,2015-01-13,39.00,40.90,40.95,40.90,40.95,40.95,40.95,12445,5.10,38,-,-
V2RETAIL,BE,2015-01-14,40.95,42.80,42.95,38.95,41.05,41.00,41.33,46362,19.16,286,-,-
V2RETAIL,BE,2015-01-15,41.00,41.05,41.05,38.95,39.55,40.00,39.69,20264,8.04,96,-,-
V2RETAIL,BE,2015-01-16,40.00,39.75,41.65,38.30,40.40,40.25,39.68,16377,6.50,79,-,-
V2RETAIL,BE,2015-01-19,40.25,39.20,40.40,39.20,40.00,40.10,39.90,15902,6.35,82,-,-
V2RETAIL,BE,2015-01-20,40.10,39.05,40.45,38.75,40.00,39.90,39.62,32989,13.07,157,-,-
V2RETAIL,BE,2015-01-21,39.90,39.85,40.00,38.00,39.45,39.00,39.28,54044,21.23,220,-,-
V2RETAIL,BE,2015-01-22,39.00,39.00,40.95,39.00,40.95,40.95,40.39,34829,14.07,161,-,-
V2RETAIL,BE,2015-01-23,40.95,39.00,41.35,39.00,39.25,39.55,40.06,32104,12.86,165,-,-
V2RETAIL,BE,2015-01-27,39.55,38.55,41.00,38.55,41.00,40.05,39.42,16300,6.42,1317,-,-
V2RETAIL,BE,2015-01-28,40.05,39.35,40.20,38.70,39.30,39.40,39.49,17641,6.97,1459,-,-
V2RETAIL,BE,2015-01-29,39.40,38.25,41.00,38.25,40.15,40.60,40.01,23597,9.44,354,-,-
V2RETAIL,BE,2015-01-30,40.60,39.05,40.60,39.05,40.00,39.60,39.86,26563,10.59,71,-,-
V2RETAIL,BE,2015-02-02,39.60,40.00,41.55,40.00,41.55,41.55,41.47,30920,12.82,67,-,-
V2RETAIL,BE,2015-02-03,41.55,42.60,43.60,42.30,43.60,43.60,43.47,39894,17.34,198,-,-
V2RETAIL,BE,2015-02-04,43.60,44.00,45.65,42.00,45.05,45.45,44.09,41312,18.22,183,-,-
V2RETAIL,BE,2015-02-05,45.45,45.15,47.00,43.20,43.30,43.80,44.76,43512,19.48,145,-,-
V2RETAIL,BE,2015-02-06,43.80,45.95,45.95,45.95,45.95,45.95,45.95,37898,17.41,92,-,-
V2RETAIL,BE,2015-02-09,45.95,48.20,48.20,45.00,47.50,46.30,47.96,134695,64.61,473,-,-
V2RETAIL,BE,2015-02-10,46.30,44.05,46.00,44.00,44.00,44.00,44.41,40842,18.14,130,-,-
V2RETAIL,BE,2015-02-11,44.00,44.20,44.20,41.80,42.60,43.40,42.02,95769,40.24,239,-,-
V2RETAIL,BE,2015-02-12,43.40,42.10,44.95,41.25,42.00,42.25,42.15,36872,15.54,182,-,-
V2RETAIL,BE,2015-02-13,42.25,42.90,44.25,40.50,43.45,43.75,43.12,24583,10.60,129,-,-
V2RETAIL,BE,2015-02-16,43.75,45.50,45.50,41.60,41.60,41.80,42.47,20627,8.76,169,-,-
V2RETAIL,BE,2015-02-18,41.80,42.70,43.00,39.75,41.40,40.45,40.75,44897,18.30,202,-,-
V2RETAIL,BE,2015-02-19,40.45,40.00,40.95,39.00,39.85,39.50,39.88,15216,6.07,94,-,-
V2RETAIL,BE,2015-02-20,39.50,39.50,40.25,38.55,39.25,39.10,39.37,19937,7.85,130,-,-
V2RETAIL,EQ,2015-02-23,39.10,40.75,40.85,38.90,40.10,40.55,39.81,16017,6.38,144,13441,83.92
V2RETAIL,EQ,2015-02-24,40.55,40.70,42.55,39.45,42.55,42.40,41.55,33342,13.85,186,27649,82.93
V2RETAIL,EQ,2015-02-25,42.40,43.90,44.50,41.55,44.50,44.30,44.07,114774,50.58,742,67405,58.73
V2RETAIL,EQ,2015-02-26,44.30,45.00,45.20,42.35,42.45,42.65,43.59,20972,9.14,143,13018,62.07
V2RETAIL,EQ,2015-02-27,42.65,44.75,44.75,43.20,44.75,44.75,44.41,74907,33.27,766,39699,53.00
V2RETAIL,EQ,2015-02-28,44.75,45.80,46.95,43.55,45.00,44.30,45.54,65120,29.65,522,42822,65.76
V2RETAIL,EQ,2015-03-02,44.30,42.15,44.00,42.15,43.50,43.50,43.65,13622,5.95,101,11028,80.96
V2RETAIL,EQ,2015-03-03,43.50,43.10,44.90,42.55,43.00,43.20,43.29,13101,5.67,122,8218,62.73
V2RETAIL,EQ,2015-03-04,43.20,42.30,44.35,41.05,41.25,41.95,42.31,23534,9.96,127,20407,86.71
V2RETAIL,EQ,2015-03-05,41.95,42.90,42.90,40.50,41.35,40.85,41.06,15999,6.57,156,11807,73.80
V2RETAIL,EQ,2015-03-09,40.85,39.05,42.15,39.00,39.00,39.45,40.23,37481,15.08,198,30091,80.28
V2RETAIL,EQ,2015-03-10,39.45,39.60,40.45,39.20,39.95,39.45,39.87,15137,6.03,122,12437,82.16
V2RETAIL,EQ,2015-03-11,39.45,39.40,41.30,39.15,39.80,39.35,39.55,12575,4.97,80,12076,96.03
V2RETAIL,EQ,2015-03-12,39.35,39.40,39.90,38.80,39.40,39.00,39.09,27022,10.56,140,22823,84.46
V2RETAIL,EQ,2015-03-13,39.00,38.80,40.00,38.10,38.10,38.85,39.47,29849,11.78,139,21161,70.89
V2RETAIL,EQ,2015-03-16,38.85,39.95,39.95,37.00,37.00,37.10,37.52,39612,14.86,172,36615,92.43
V2RETAIL,EQ,2015-03-17,37.10,37.75,38.50,36.60,37.25,36.90,37.36,23479,8.77,120,16674,71.02
V2RETAIL,EQ,2015-03-18,36.90,37.00,38.00,35.80,35.80,36.15,36.70,21984,8.07,93,17563,79.89
