Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VAKRANGEE,EQ,2014-12-04,144.25,145.05,147.80,139.80,143.30,143.50,143.11,429125,614.10,3156,145118,33.82
VAKRANGEE,EQ,2014-12-05,143.50,143.85,145.95,139.90,141.50,141.00,141.92,179747,255.10,1612,117179,65.19
VAKRANGEE,EQ,2014-12-08,141.00,142.70,145.90,138.10,143.00,142.35,143.70,438790,630.53,5357,271922,61.97
VAKRANGEE,EQ,2014-12-09,142.35,142.30,143.65,141.15,142.70,142.85,142.90,513556,733.87,4983,302286,58.86
VAKRANGEE,EQ,2014-12-10,142.85,142.60,144.55,138.00,138.50,138.35,140.40,351619,493.67,2665,178164,50.67
VAKRANGEE,EQ,2014-12-11,138.35,138.35,143.60,137.60,139.70,139.00,139.30,363653,506.58,1931,111485,30.66
VAKRANGEE,EQ,2014-12-12,139.00,139.05,140.75,137.00,138.00,138.10,139.42,510543,711.82,2121,181309,35.51
VAKRANGEE,EQ,2014-12-15,138.10,136.50,141.70,134.70,141.00,139.05,138.41,413523,572.36,3189,173055,41.85
VAKRANGEE,EQ,2014-12-16,139.05,138.30,140.40,130.30,140.25,139.45,138.05,637629,880.27,4158,337259,52.89
VAKRANGEE,EQ,2014-12-17,139.45,138.95,140.80,134.15,135.00,135.15,137.75,795059,1095.18,3575,386571,48.62
VAKRANGEE,EQ,2014-12-18,135.15,135.60,137.65,133.75,134.35,134.30,136.45,286403,390.80,1491,130260,45.48
VAKRANGEE,EQ,2014-12-19,134.30,135.25,135.25,107.45,107.50,113.15,118.76,1222090,1451.39,11943,703677,57.58
VAKRANGEE,EQ,2014-12-22,113.15,117.90,127.00,116.20,120.70,120.95,121.79,1449226,1765.04,14863,598351,41.29
VAKRANGEE,EQ,2014-12-23,120.95,120.50,123.45,119.05,120.00,120.00,120.88,734607,887.97,5519,368978,50.23
VAKRANGEE,EQ,2014-12-24,120.00,120.00,122.35,120.00,120.75,120.35,120.97,414579,501.50,3104,201595,48.63
VAKRANGEE,EQ,2014-12-26,120.35,120.85,121.95,118.40,118.65,118.85,119.62,466263,557.73,1751,241374,51.77
VAKRANGEE,EQ,2014-12-29,118.85,119.45,124.20,119.45,124.20,123.00,122.20,1390953,1699.73,4678,885643,63.67
VAKRANGEE,EQ,2014-12-30,123.00,123.10,123.90,121.25,123.55,123.15,122.90,420773,517.14,3078,301330,71.61
VAKRANGEE,EQ,2014-12-31,123.15,123.50,125.25,122.20,124.25,124.70,124.02,347588,431.06,1506,281381,80.95
VAKRANGEE,EQ,2015-01-01,124.70,124.10,126.90,123.10,124.75,124.70,125.28,108423,135.83,1051,27071,24.97
VAKRANGEE,EQ,2015-01-02,124.70,125.40,126.55,124.10,126.00,125.70,125.33,135063,169.28,1395,70963,52.54
VAKRANGEE,EQ,2015-01-05,125.70,125.85,129.00,125.85,129.00,128.70,127.79,209710,267.99,2168,131799,62.85
VAKRANGEE,EQ,2015-01-06,128.70,126.00,127.80,123.00,125.00,124.90,125.81,491030,617.75,3028,378364,77.06
VAKRANGEE,EQ,2015-01-07,124.90,124.50,126.00,124.00,124.75,124.60,125.14,363339,454.68,1962,239626,65.95
VAKRANGEE,EQ,2015-01-08,124.60,122.15,126.50,122.15,124.75,124.80,125.59,169242,212.54,1052,77502,45.79
VAKRANGEE,EQ,2015-01-09,124.80,125.00,130.00,125.00,125.45,125.35,125.94,250725,315.76,2203,179928,71.76
VAKRANGEE,EQ,2015-01-12,125.35,125.40,126.20,124.25,124.50,124.95,125.35,437744,548.70,1551,355555,81.22
VAKRANGEE,EQ,2015-01-13,124.95,125.00,125.95,124.30,125.25,125.40,125.38,498772,625.34,4133,377110,75.61
VAKRANGEE,EQ,2015-01-14,125.40,124.70,125.65,123.25,124.80,124.80,124.77,289664,361.42,3591,116636,40.27
VAKRANGEE,EQ,2015-01-15,124.80,125.00,129.60,125.00,125.65,126.35,127.20,443900,564.64,3226,280622,63.22
VAKRANGEE,EQ,2015-01-16,126.35,126.90,128.90,126.50,127.60,127.65,128.00,404734,518.07,2348,245690,60.70
VAKRANGEE,EQ,2015-01-19,127.65,127.50,129.10,127.50,127.60,127.85,128.36,253853,325.84,2505,157142,61.90
VAKRANGEE,EQ,2015-01-20,127.85,127.15,129.90,126.85,126.95,127.15,127.56,334758,427.01,2231,255292,76.26
