Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VARDHACRLC,EQ,2014-12-04,28.05,27.70,28.40,27.25,27.70,27.55,27.67,66433,18.38,255,57069,85.90
VARDHACRLC,EQ,2014-12-05,27.55,27.80,28.00,27.00,27.10,27.15,27.64,73413,20.29,229,67783,92.33
VARDHACRLC,EQ,2014-12-08,27.15,27.30,27.30,26.20,26.50,26.30,26.57,69151,18.37,215,56246,81.34
VARDHACRLC,EQ,2014-12-09,26.30,26.00,26.90,25.50,26.70,26.50,26.33,70644,18.60,282,49427,69.97
VARDHACRLC,EQ,2014-12-10,26.50,26.50,28.50,26.50,28.35,28.25,27.82,211410,58.82,548,170629,80.71
VARDHACRLC,EQ,2014-12-11,28.25,28.25,29.75,25.90,28.80,28.70,28.40,352216,100.02,996,230663,65.49
VARDHACRLC,EQ,2014-12-12,28.70,29.25,29.50,28.05,28.20,28.35,28.90,190037,54.93,298,175584,92.39
VARDHACRLC,EQ,2014-12-15,28.35,28.25,29.00,28.15,28.25,28.25,28.42,77894,22.14,154,70851,90.96
VARDHACRLC,EQ,2014-12-16,28.25,28.20,28.20,26.05,26.95,27.20,26.99,150335,40.58,376,117558,78.20
VARDHACRLC,EQ,2014-12-17,27.20,28.50,28.50,26.00,27.00,26.80,26.92,100449,27.04,238,60375,60.11
VARDHACRLC,EQ,2014-12-18,26.80,27.90,27.90,26.65,27.25,27.25,27.07,52690,14.27,108,43012,81.63
VARDHACRLC,EQ,2014-12-19,27.25,27.60,27.60,26.80,27.25,27.20,27.27,40163,10.95,99,31481,78.38
VARDHACRLC,EQ,2014-12-22,27.20,27.40,27.55,26.15,27.00,27.05,26.96,52601,14.18,171,29720,56.50
VARDHACRLC,EQ,2014-12-23,27.05,26.90,27.25,25.25,26.85,27.15,26.73,48236,12.89,221,39757,82.42
VARDHACRLC,EQ,2014-12-24,27.15,27.50,32.55,27.50,31.60,31.35,31.31,946055,296.25,2900,613339,64.83
VARDHACRLC,EQ,2014-12-26,31.35,32.10,32.65,29.80,30.00,30.30,31.27,165162,51.65,592,112727,68.25
VARDHACRLC,EQ,2014-12-29,30.30,30.95,32.00,30.30,31.85,31.75,31.61,131053,41.43,630,100098,76.38
VARDHACRLC,EQ,2014-12-30,31.75,31.75,32.50,30.15,30.65,30.75,31.00,96781,30.01,364,83171,85.94
VARDHACRLC,EQ,2014-12-31,30.75,31.00,32.00,29.65,30.40,30.55,31.07,104253,32.40,464,73266,70.28
VARDHACRLC,EQ,2015-01-01,30.55,30.20,31.70,30.00,30.60,30.95,30.75,93985,28.90,287,62566,66.57
VARDHACRLC,EQ,2015-01-02,30.95,31.10,32.00,30.50,31.50,31.45,31.53,98342,31.01,477,76122,77.41
VARDHACRLC,EQ,2015-01-05,31.45,31.45,32.90,31.00,31.20,31.10,31.75,72137,22.91,294,56411,78.20
VARDHACRLC,EQ,2015-01-06,31.10,31.00,31.00,29.50,29.65,29.65,30.12,99674,30.02,424,86493,86.78
VARDHACRLC,EQ,2015-01-07,29.65,30.00,30.60,29.05,30.05,30.25,29.85,138027,41.20,338,95868,69.46
VARDHACRLC,EQ,2015-01-08,30.25,31.00,32.30,30.35,31.65,31.45,31.57,135775,42.87,421,103378,76.14
VARDHACRLC,EQ,2015-01-09,31.45,31.00,31.75,30.30,30.50,30.55,30.89,90147,27.85,331,73254,81.26
VARDHACRLC,EQ,2015-01-12,30.55,31.00,31.25,29.55,30.15,30.20,30.31,20677,6.27,136,16513,79.86
VARDHACRLC,EQ,2015-01-13,30.20,31.20,32.40,30.75,31.45,31.25,31.69,199322,63.16,510,147178,73.84
VARDHACRLC,EQ,2015-01-14,31.25,31.25,31.90,30.25,30.95,30.80,31.11,66935,20.82,143,62100,92.78
VARDHACRLC,EQ,2015-01-15,30.80,31.00,31.50,30.25,30.25,30.75,30.79,158595,48.83,214,151565,95.57
