Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VIMALOIL,EQ,2014-12-04,237.55,238.00,244.35,234.00,234.00,239.00,239.57,13686,32.79,374,2859,20.89
VIMALOIL,EQ,2014-12-05,239.00,240.00,248.00,234.00,240.00,236.70,243.32,15709,38.22,386,4094,26.06
VIMALOIL,EQ,2014-12-08,236.70,243.00,248.00,242.00,248.00,247.10,244.90,13329,32.64,182,3106,23.30
VIMALOIL,EQ,2014-12-09,247.10,251.00,262.90,246.05,254.90,252.75,251.66,27195,68.44,634,14186,52.16
VIMALOIL,EQ,2014-12-10,252.75,251.35,257.80,251.00,257.40,256.60,255.53,27097,69.24,229,7505,27.70
VIMALOIL,EQ,2014-12-11,256.60,258.45,261.00,247.00,247.15,248.15,255.60,9757,24.94,175,1866,19.12
VIMALOIL,EQ,2014-12-12,248.15,250.00,259.20,233.45,245.65,245.15,248.24,16285,40.43,439,2549,15.65
VIMALOIL,EQ,2014-12-15,245.15,243.05,252.00,243.05,245.00,245.30,249.15,33820,84.26,139,28706,84.88
VIMALOIL,EQ,2014-12-16,245.30,247.00,254.95,241.50,245.00,245.20,246.94,7785,19.22,302,5330,68.46
VIMALOIL,EQ,2014-12-17,245.20,246.45,251.00,239.00,246.00,246.00,247.23,2518,6.23,83,336,13.34
VIMALOIL,EQ,2014-12-18,246.00,246.00,248.60,241.00,246.00,242.85,246.35,2699,6.65,71,464,17.19
VIMALOIL,EQ,2014-12-19,242.85,240.40,249.90,240.05,247.00,246.25,245.14,3968,9.73,129,192,4.84
VIMALOIL,EQ,2014-12-22,246.25,245.00,249.80,238.00,247.95,248.85,245.82,3484,8.56,149,145,4.16
VIMALOIL,EQ,2014-12-23,248.85,246.40,249.00,239.95,240.00,241.40,244.07,4954,12.09,155,1125,22.71
VIMALOIL,EQ,2014-12-24,241.40,239.00,243.10,236.00,240.00,241.15,240.68,4861,11.70,194,224,4.61
VIMALOIL,EQ,2014-12-26,241.15,241.00,245.90,235.00,237.00,238.80,241.97,3486,8.44,85,672,19.28
VIMALOIL,EQ,2014-12-29,238.80,242.50,244.10,235.00,235.00,238.30,241.12,2969,7.16,87,388,13.07
VIMALOIL,EQ,2014-12-30,238.30,238.35,238.40,234.00,235.00,235.20,237.47,2146,5.10,45,88,4.10
VIMALOIL,EQ,2014-12-31,235.20,235.55,239.90,235.00,239.90,238.15,235.61,2200,5.18,28,170,7.73
VIMALOIL,EQ,2015-01-01,238.15,237.45,239.45,234.00,234.00,237.50,237.47,2183,5.18,45,72,3.30
VIMALOIL,EQ,2015-01-02,237.50,237.45,271.90,237.45,261.10,263.90,259.80,63196,164.18,960,14586,23.08
VIMALOIL,EQ,2015-01-05,263.90,265.00,277.80,262.05,262.10,264.70,269.84,17313,46.72,499,4342,25.08
VIMALOIL,EQ,2015-01-06,264.70,264.40,268.05,260.00,265.00,262.70,262.11,7095,18.60,148,1313,18.51
VIMALOIL,EQ,2015-01-07,262.70,263.00,272.35,257.00,261.00,261.00,262.07,9374,24.57,180,3496,37.29
VIMALOIL,EQ,2015-01-08,261.00,262.00,268.00,258.80,265.00,262.30,262.84,3025,7.95,106,473,15.64
VIMALOIL,EQ,2015-01-09,262.30,265.05,265.85,261.00,261.00,262.90,264.87,3187,8.44,45,931,29.21
VIMALOIL,EQ,2015-01-12,262.90,263.05,268.80,257.00,258.00,260.80,263.46,3543,9.33,122,996,28.11
VIMALOIL,EQ,2015-01-13,260.80,263.10,266.00,261.05,261.95,261.95,262.98,2259,5.94,47,209,9.25
VIMALOIL,EQ,2015-01-14,261.95,262.05,263.10,256.00,256.00,256.45,261.26,2547,6.65,47,213,8.36
VIMALOIL,EQ,2015-01-15,256.45,256.05,264.40,253.00,259.00,258.05,256.58,2469,6.33,59,430,17.42
VIMALOIL,EQ,2015-01-16,258.05,256.95,260.45,256.80,260.00,259.65,259.85,39431,102.46,76,37340,94.70
VIMALOIL,EQ,2015-01-19,259.65,262.95,270.00,259.95,263.00,262.60,263.19,12938,34.05,155,10422,80.55
VIMALOIL,EQ,2015-01-20,262.60,262.60,262.60,258.00,258.00,258.00,261.44,2233,5.84,54,180,8.06
VIMALOIL,EQ,2015-01-21,258.00,258.95,260.00,256.05,257.35,256.95,258.63,3334,8.62,83,1199,35.96
VIMALOIL,EQ,2015-01-22,256.95,258.05,260.00,255.00,255.00,256.65,258.58,2425,6.27,53,325,13.40
VIMALOIL,EQ,2015-01-23,256.65,258.45,258.95,253.90,254.50,254.55,257.00,2873,7.38,59,780,27.15
VIMALOIL,EQ,2015-01-27,254.55,254.85,259.95,254.80,259.00,258.25,255.99,3015,7.72,91,986,32.70
