Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VISASTEEL,EQ,2014-12-04,19.00,18.80,19.40,18.20,18.75,18.70,18.92,21468,4.06,196,13075,60.90
VISASTEEL,EQ,2014-12-05,18.70,18.80,19.15,18.30,18.90,18.75,18.77,11832,2.22,91,7727,65.31
VISASTEEL,EQ,2014-12-08,18.75,19.00,19.15,18.60,18.90,18.85,18.94,5450,1.03,44,4900,89.91
VISASTEEL,EQ,2014-12-09,18.85,18.90,18.90,18.60,18.60,18.65,18.67,10748,2.01,81,10274,95.59
VISASTEEL,EQ,2014-12-10,18.65,19.30,19.30,18.50,19.00,18.85,18.78,5785,1.09,45,4683,80.95
VISASTEEL,EQ,2014-12-11,18.85,18.20,19.30,18.20,18.60,18.90,18.75,14222,2.67,133,5104,35.89
VISASTEEL,EQ,2014-12-12,18.90,19.25,19.30,18.40,18.40,18.45,18.78,13729,2.58,65,5887,42.88
VISASTEEL,EQ,2014-12-15,18.45,17.65,19.00,17.65,18.60,18.40,18.34,5588,1.02,52,3994,71.47
VISASTEEL,EQ,2014-12-16,18.40,18.15,18.25,17.20,17.75,17.55,17.69,9020,1.60,77,6935,76.88
VISASTEEL,EQ,2014-12-17,17.55,18.45,18.45,17.10,17.35,17.40,17.51,8755,1.53,53,6314,72.12
VISASTEEL,EQ,2014-12-18,17.40,17.60,18.40,17.40,17.80,17.80,17.88,3834,0.69,66,2457,64.08
VISASTEEL,EQ,2014-12-19,17.80,18.00,18.30,17.65,17.75,17.80,18.02,11719,2.11,123,10883,92.87
VISASTEEL,EQ,2014-12-22,17.80,17.70,18.50,17.65,17.70,17.70,17.90,9700,1.74,63,8970,92.47
VISASTEEL,EQ,2014-12-23,17.70,17.70,18.70,17.65,17.70,17.70,18.04,9961,1.80,67,6979,70.06
VISASTEEL,EQ,2014-12-24,17.70,18.00,18.00,16.50,16.70,17.00,17.30,27536,4.76,187,15168,55.08
VISASTEEL,EQ,2014-12-26,17.00,17.80,17.80,17.05,17.50,17.35,17.28,13273,2.29,85,7735,58.28
VISASTEEL,EQ,2014-12-29,17.35,16.65,17.80,16.65,17.65,17.55,17.52,7932,1.39,66,5498,69.31
VISASTEEL,EQ,2014-12-30,17.55,16.90,17.85,16.90,17.65,17.55,17.40,12669,2.20,75,5121,40.42
VISASTEEL,EQ,2014-12-31,17.55,17.50,17.65,17.15,17.15,17.20,17.42,5458,0.95,61,4887,89.54
