Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
WABCOINDIA,EQ,2014-12-04,4397.50,4415.00,4589.00,4390.00,4500.00,4535.15,4494.30,10807,485.70,1237,7063,65.36
WABCOINDIA,EQ,2014-12-05,4535.15,4522.00,4780.00,4505.00,4578.00,4608.65,4647.02,8786,408.29,1831,5215,59.36
WABCOINDIA,EQ,2014-12-08,4608.65,4685.35,4687.00,4591.05,4618.80,4617.25,4641.86,4085,189.62,1170,2471,60.49
WABCOINDIA,EQ,2014-12-09,4617.25,4640.00,4660.05,4413.25,4460.15,4476.85,4600.47,8534,392.60,1011,6848,80.24
WABCOINDIA,EQ,2014-12-10,4476.85,4485.10,4620.00,4410.00,4450.00,4452.80,4454.20,3141,139.91,597,2342,74.56
WABCOINDIA,EQ,2014-12-11,4452.80,4449.90,4500.10,4410.00,4450.00,4470.50,4449.92,3589,159.71,749,2897,80.72
WABCOINDIA,EQ,2014-12-12,4470.50,4558.75,4558.75,4370.00,4370.00,4407.40,4458.59,2569,114.54,417,2165,84.27
WABCOINDIA,EQ,2014-12-15,4407.40,4370.00,4497.20,4354.95,4494.90,4475.10,4466.72,11883,530.78,1911,9988,84.05
WABCOINDIA,EQ,2014-12-16,4475.10,4422.05,4435.00,4225.50,4320.00,4346.85,4299.48,7196,309.39,1349,5395,74.97
WABCOINDIA,EQ,2014-12-17,4346.85,4288.40,4430.40,4100.00,4412.05,4399.00,4318.89,4368,188.65,731,2870,65.71
WABCOINDIA,EQ,2014-12-18,4399.00,4426.00,4500.05,4271.00,4450.50,4394.20,4318.00,7191,310.51,1719,4803,66.79
WABCOINDIA,EQ,2014-12-19,4394.20,4450.55,4479.00,4370.00,4370.00,4446.40,4453.98,2679,119.32,604,1712,63.90
WABCOINDIA,EQ,2014-12-22,4446.40,4463.00,4497.90,4371.05,4380.00,4396.25,4456.25,3267,145.59,1115,2138,65.44
WABCOINDIA,EQ,2014-12-23,4396.25,4400.00,4550.00,4400.00,4450.00,4484.45,4459.57,2640,117.73,473,1528,57.88
WABCOINDIA,EQ,2014-12-24,4484.45,4484.10,4600.00,4430.00,4585.00,4561.40,4513.14,3241,146.27,538,2696,83.18
WABCOINDIA,EQ,2014-12-26,4561.40,4535.00,4621.00,4535.00,4600.00,4596.20,4595.36,6431,295.53,1308,4598,71.50
WABCOINDIA,EQ,2014-12-29,4596.20,4624.00,4713.00,4565.00,4668.00,4692.20,4627.60,2226,103.01,559,1509,67.79
WABCOINDIA,EQ,2014-12-30,4692.20,4690.00,4693.00,4600.00,4664.00,4618.80,4627.06,2655,122.85,506,2011,75.74
WABCOINDIA,EQ,2014-12-31,4618.80,4576.70,4670.05,4402.00,4450.00,4477.75,4518.44,9229,417.01,1083,7820,84.73
WABCOINDIA,EQ,2015-01-01,4477.75,4494.00,4598.70,4460.75,4501.45,4516.35,4533.19,1109,50.27,272,672,60.60
WABCOINDIA,EQ,2015-01-02,4516.35,4489.00,4770.00,4470.00,4645.00,4661.40,4622.24,3746,173.15,767,2474,66.04
WABCOINDIA,EQ,2015-01-05,4661.40,4601.00,4788.00,4601.00,4700.00,4696.85,4722.18,9778,461.73,1322,8411,86.02
