Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
WALCHANNAG,EQ,2014-12-04,143.45,146.00,148.30,137.60,142.00,143.80,143.98,451248,649.69,6972,144808,32.09
WALCHANNAG,EQ,2014-12-05,143.80,145.70,149.00,140.50,140.50,141.50,145.47,229567,333.96,3305,96428,42.00
WALCHANNAG,EQ,2014-12-08,141.50,143.60,143.90,136.15,138.00,137.55,139.80,99459,139.05,1856,50632,50.91
WALCHANNAG,EQ,2014-12-09,137.55,137.40,141.80,133.15,134.30,133.95,136.91,99191,135.81,1617,53378,53.81
WALCHANNAG,EQ,2014-12-10,133.95,134.10,137.00,133.50,134.25,134.60,135.34,80157,108.48,1306,43082,53.75
WALCHANNAG,EQ,2014-12-11,134.60,134.80,148.05,132.20,143.65,144.90,144.41,515852,744.96,5132,131106,25.42
WALCHANNAG,EQ,2014-12-12,144.90,146.25,151.30,141.00,141.20,142.30,146.09,522953,763.97,7419,182974,34.99
WALCHANNAG,EQ,2014-12-15,142.30,142.00,150.00,141.00,147.00,147.15,146.98,265285,389.91,4398,127789,48.17
WALCHANNAG,EQ,2014-12-16,147.15,147.90,148.85,139.00,142.15,141.65,144.15,290557,418.84,3536,140461,48.34
WALCHANNAG,EQ,2014-12-17,141.65,141.25,143.60,134.10,137.90,136.95,137.64,171830,236.51,2914,79000,45.98
WALCHANNAG,EQ,2014-12-18,136.95,143.00,149.00,139.60,146.90,146.85,145.93,348619,508.73,4686,162598,46.64
WALCHANNAG,EQ,2014-12-19,146.85,150.00,161.50,148.95,153.00,153.35,156.91,813142,1275.89,8859,220857,27.16
WALCHANNAG,EQ,2014-12-22,153.35,157.65,157.90,152.25,154.15,154.40,154.93,261159,404.62,4664,78665,30.12
WALCHANNAG,EQ,2014-12-23,154.40,154.85,155.00,146.00,147.10,147.55,149.57,159637,238.77,3364,60057,37.62
WALCHANNAG,EQ,2014-12-24,147.55,147.95,152.70,145.00,150.30,149.00,149.88,183927,275.66,3889,47975,26.08
WALCHANNAG,EQ,2014-12-26,149.00,150.65,154.40,149.50,153.00,153.50,152.68,217170,331.57,3141,101882,46.91
WALCHANNAG,EQ,2014-12-29,153.50,154.10,168.85,152.00,168.85,168.85,165.24,1091051,1802.84,9571,356712,32.69
WALCHANNAG,EQ,2014-12-30,168.85,172.00,180.90,169.15,175.35,174.55,175.42,1182177,2073.81,16053,303645,25.69
WALCHANNAG,EQ,2014-12-31,174.55,175.00,180.90,174.65,175.10,175.90,177.12,373649,661.81,6392,87904,23.53
WALCHANNAG,EQ,2015-01-01,175.90,176.40,179.30,172.00,174.50,174.45,175.40,260594,457.08,5017,69021,26.49
WALCHANNAG,EQ,2015-01-02,174.45,175.75,188.80,175.00,179.85,179.05,183.23,956739,1753.07,13009,203999,21.32
WALCHANNAG,EQ,2015-01-05,179.05,180.00,184.25,176.00,178.50,178.25,180.39,282002,508.72,4278,84362,29.92
WALCHANNAG,EQ,2015-01-06,178.25,177.00,177.00,168.30,169.35,169.40,171.49,289308,496.13,5117,109688,37.91
WALCHANNAG,EQ,2015-01-07,169.40,172.85,203.25,165.75,203.25,199.90,191.06,3293240,6292.08,44501,466586,14.17
WALCHANNAG,EQ,2015-01-08,199.90,207.95,233.35,204.55,223.00,225.25,222.40,6507996,14473.99,85532,592778,9.11
WALCHANNAG,EQ,2015-01-09,225.25,224.75,228.85,216.15,219.70,220.00,222.15,1971048,4378.59,31776,261282,13.26
WALCHANNAG,EQ,2015-01-12,220.00,220.00,239.00,219.00,230.80,231.35,232.34,2234055,5190.65,35397,289061,12.94
WALCHANNAG,EQ,2015-01-13,231.35,233.40,238.60,226.40,230.80,230.80,231.90,1311467,3041.33,19840,191700,14.62
WALCHANNAG,EQ,2015-01-14,230.80,230.85,241.45,230.00,234.00,234.25,235.30,1340143,3153.36,19413,204410,15.25
WALCHANNAG,EQ,2015-01-15,234.25,238.70,239.30,230.10,231.70,231.25,233.42,572154,1335.52,8974,136496,23.86
WALCHANNAG,EQ,2015-01-16,231.25,230.95,235.90,225.00,227.50,226.80,230.14,817473,1881.36,12791,145278,17.77
WALCHANNAG,EQ,2015-01-19,226.80,228.10,231.90,218.65,223.90,222.65,225.36,541038,1219.29,9039,145450,26.88
WALCHANNAG,EQ,2015-01-20,222.65,224.70,230.70,221.25,222.70,223.05,224.99,436511,982.11,7124,92790,21.26
WALCHANNAG,EQ,2015-01-21,223.05,223.90,225.50,217.50,218.45,218.90,220.81,315113,695.80,5458,90655,28.77
WALCHANNAG,EQ,2015-01-22,218.90,219.40,220.50,208.15,208.60,209.10,213.25,410013,874.34,7252,140154,34.18
WALCHANNAG,EQ,2015-01-23,209.10,211.25,247.70,209.60,238.35,242.40,236.43,4401849,10407.49,64287,647591,14.71
WALCHANNAG,EQ,2015-01-27,242.40,243.80,270.80,242.00,256.00,259.05,262.39,4740239,12437.74,65999,649465,13.70
WALCHANNAG,EQ,2015-01-28,259.05,257.70,264.45,251.05,253.10,252.65,257.48,1363002,3509.45,20132,253680,18.61
WALCHANNAG,EQ,2015-01-29,252.65,253.10,273.90,251.85,263.90,263.90,266.49,2104952,5609.58,30923,333769,15.86
WALCHANNAG,EQ,2015-01-30,263.90,265.55,269.50,253.50,255.00,256.30,260.38,742288,1932.74,11928,182746,24.62
WALCHANNAG,EQ,2015-02-02,256.30,253.65,271.75,253.65,267.65,266.30,264.32,964451,2549.25,15326,198423,20.57
WALCHANNAG,EQ,2015-02-03,266.30,268.20,280.40,265.00,268.00,268.55,273.03,1486438,4058.44,22563,282596,19.01
WALCHANNAG,EQ,2015-02-04,268.55,270.65,273.70,256.15,260.70,258.05,264.27,628355,1660.54,10180,175654,27.95
WALCHANNAG,EQ,2015-02-05,258.05,258.25,267.75,253.00,257.85,255.60,260.88,508543,1326.70,8730,110834,21.79
WALCHANNAG,EQ,2015-02-06,255.60,257.20,258.60,240.10,245.65,244.20,248.07,505607,1254.26,8711,151604,29.98
WALCHANNAG,EQ,2015-02-09,244.20,244.00,244.00,228.55,230.40,230.45,233.96,383117,896.33,6817,121101,31.61
WALCHANNAG,EQ,2015-02-10,230.45,228.40,244.50,223.20,238.80,236.75,235.47,645042,1518.91,11201,148748,23.06
WALCHANNAG,EQ,2015-02-11,236.75,239.90,275.50,239.85,273.50,272.45,263.27,2897858,7629.21,44362,412692,14.24
WALCHANNAG,EQ,2015-02-12,272.45,274.80,281.70,265.60,270.95,271.55,274.72,2045476,5619.33,32053,274671,13.43
WALCHANNAG,EQ,2015-02-13,271.55,272.00,277.70,266.10,266.70,268.20,272.51,888756,2421.95,15460,184070,20.71
