Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
WEBELSOLAR,EQ,2014-12-04,16.70,16.70,17.50,16.70,17.50,17.30,17.33,15839,2.75,54,12102,76.41
WEBELSOLAR,EQ,2014-12-05,17.30,17.80,18.75,16.50,17.95,17.90,17.92,11610,2.08,49,3643,31.38
WEBELSOLAR,EQ,2014-12-08,17.90,18.00,19.00,17.55,18.70,18.55,18.41,8733,1.61,85,7358,84.26
WEBELSOLAR,EQ,2014-12-09,18.55,17.55,17.90,17.00,17.00,17.45,17.40,7074,1.23,39,2793,39.48
WEBELSOLAR,EQ,2014-12-10,17.45,17.50,18.30,17.45,18.25,18.25,17.89,1998,0.36,20,1798,89.99
WEBELSOLAR,EQ,2014-12-11,18.25,18.25,18.25,17.30,17.30,17.85,17.99,7226,1.30,35,5440,75.28
WEBELSOLAR,EQ,2014-12-12,17.85,17.50,18.85,16.55,17.45,17.35,17.73,24600,4.36,114,12748,51.82
WEBELSOLAR,EQ,2014-12-15,17.35,17.45,17.50,16.55,16.55,16.80,17.12,3031,0.52,40,2739,90.37
WEBELSOLAR,EQ,2014-12-16,16.80,16.25,16.25,15.20,15.50,15.40,15.41,12772,1.97,109,12373,96.88
WEBELSOLAR,EQ,2014-12-17,15.40,16.80,16.85,14.00,15.30,15.00,14.72,19733,2.91,104,13151,66.64
WEBELSOLAR,EQ,2014-12-18,15.00,15.90,16.00,15.00,15.25,15.30,15.46,6900,1.07,20,4342,62.93
WEBELSOLAR,EQ,2014-12-19,15.30,15.35,16.00,14.05,14.05,14.30,14.87,7550,1.12,35,5020,66.49
WEBELSOLAR,EQ,2014-12-22,14.30,15.50,15.50,14.05,15.00,15.10,15.12,15625,2.36,65,9592,61.39
WEBELSOLAR,EQ,2014-12-23,15.10,16.45,16.45,14.70,15.00,14.90,15.27,2678,0.41,45,1281,47.83
WEBELSOLAR,EQ,2014-12-24,14.90,15.25,15.25,14.45,15.20,15.20,14.66,2927,0.43,20,2702,92.31
WEBELSOLAR,EQ,2014-12-26,15.20,15.50,15.50,14.50,15.50,15.50,15.13,1550,0.23,14,1320,85.16
WEBELSOLAR,EQ,2014-12-29,15.50,15.75,16.25,15.20,15.55,15.60,15.77,59835,9.44,39,58676,98.06
WEBELSOLAR,EQ,2014-12-30,15.60,15.60,16.30,15.50,15.90,15.80,15.80,51174,8.08,17,50740,99.15
WEBELSOLAR,EQ,2014-12-31,15.80,15.90,17.35,14.80,17.35,17.35,16.55,13152,2.18,107,9328,70.92
WEBELSOLAR,EQ,2015-01-01,17.35,19.05,19.05,17.60,19.05,19.05,18.97,35982,6.83,205,20322,56.48
WEBELSOLAR,EQ,2015-01-02,19.05,18.40,22.85,18.40,22.85,22.85,21.82,40259,8.78,376,28878,71.73
WEBELSOLAR,EQ,2015-01-05,22.85,27.40,27.40,23.00,27.40,27.40,27.22,28120,7.65,79,25793,91.72
WEBELSOLAR,EQ,2015-01-06,27.40,29.80,30.10,29.05,30.10,30.10,30.06,111197,33.42,539,85013,76.45
WEBELSOLAR,EQ,2015-01-07,30.10,32.00,33.10,31.05,33.10,33.10,32.42,132238,42.87,863,77430,58.55
WEBELSOLAR,EQ,2015-01-08,33.10,34.90,36.40,29.80,29.80,30.00,33.36,278829,93.01,1846,104579,37.51
WEBELSOLAR,EQ,2015-01-09,30.00,29.30,29.95,27.00,27.00,27.00,28.24,60739,17.15,720,37014,60.94
WEBELSOLAR,EQ,2015-01-12,27.00,27.00,28.80,24.30,26.90,27.05,26.94,73299,19.74,715,32120,43.82
WEBELSOLAR,EQ,2015-01-13,27.05,26.85,28.50,26.05,27.15,27.20,27.28,34115,9.31,292,19884,58.29
WEBELSOLAR,EQ,2015-01-14,27.20,27.30,29.90,27.00,29.90,29.70,29.67,118732,35.23,911,46212,38.92
WEBELSOLAR,EQ,2015-01-15,29.70,31.60,31.70,27.55,28.00,28.05,29.74,58801,17.49,393,39456,67.10
WEBELSOLAR,EQ,2015-01-16,28.05,26.25,30.85,26.25,30.85,30.85,30.59,94001,28.75,521,62019,65.98
WEBELSOLAR,EQ,2015-01-19,30.85,30.15,33.90,29.60,33.90,33.90,32.95,62837,20.71,354,38756,61.68
WEBELSOLAR,EQ,2015-01-20,33.90,35.80,37.25,35.30,36.35,36.45,36.81,173259,63.78,1281,58980,34.04
WEBELSOLAR,EQ,2015-01-21,36.45,36.90,37.95,34.65,34.65,34.65,35.39,35060,12.41,264,22867,65.22
WEBELSOLAR,EQ,2015-01-22,34.65,34.60,34.60,32.95,32.95,32.95,33.23,28720,9.54,226,20268,70.57
WEBELSOLAR,EQ,2015-01-23,32.95,33.10,33.10,31.45,31.70,31.80,32.02,34281,10.98,201,26196,76.42
WEBELSOLAR,EQ,2015-01-27,31.80,32.90,33.35,32.15,33.35,33.35,33.15,32320,10.71,220,21508,66.55
WEBELSOLAR,EQ,2015-01-28,33.35,34.45,34.95,31.70,32.55,31.75,33.76,21356,7.21,186,14596,68.35
WEBELSOLAR,EQ,2015-01-29,31.75,31.50,32.45,31.00,31.40,31.50,31.54,8641,2.73,135,5354,61.96
WEBELSOLAR,EQ,2015-01-30,31.50,31.05,31.95,29.95,31.00,30.90,31.00,12013,3.72,90,8897,74.06
WEBELSOLAR,EQ,2015-02-02,30.90,30.90,32.40,30.90,32.40,32.40,31.92,6458,2.06,68,4917,76.14
WEBELSOLAR,EQ,2015-02-03,32.40,34.00,34.00,34.00,34.00,34.00,34.00,11452,3.89,77,11429,99.80
WEBELSOLAR,EQ,2015-02-04,34.00,35.70,35.70,34.10,35.65,35.60,35.63,77176,27.50,549,48428,62.75
WEBELSOLAR,EQ,2015-02-05,35.60,36.95,36.95,33.85,33.85,33.85,34.19,19384,6.63,114,16665,85.97
WEBELSOLAR,EQ,2015-02-06,33.85,31.85,33.00,30.50,30.50,30.65,31.06,19556,6.07,400,14071,71.95
WEBELSOLAR,EQ,2015-02-09,30.65,30.00,30.00,28.05,28.60,28.90,28.80,16866,4.86,134,10676,63.30
WEBELSOLAR,EQ,2015-02-10,28.90,29.75,31.75,28.75,29.75,30.15,30.90,19142,5.91,176,11996,62.67
WEBELSOLAR,EQ,2015-02-11,30.15,30.20,31.45,30.00,30.10,30.55,30.52,2584,0.79,35,1851,71.63
WEBELSOLAR,EQ,2015-02-12,30.55,31.15,31.15,29.00,29.00,29.30,29.55,5269,1.56,72,3729,70.77
WEBELSOLAR,EQ,2015-02-13,29.30,29.05,30.45,29.00,29.40,29.30,29.74,9208,2.74,88,8074,87.68
WEBELSOLAR,EQ,2015-02-16,29.30,30.75,32.20,30.50,32.20,32.20,31.73,25845,8.20,88,18450,71.39
WEBELSOLAR,EQ,2015-02-18,32.20,34.45,35.40,34.00,35.40,35.40,35.22,66452,23.41,269,53731,80.86
WEBELSOLAR,EQ,2015-02-19,35.40,37.90,38.40,34.50,36.60,36.80,36.28,59199,21.48,511,36341,61.39
WEBELSOLAR,EQ,2015-02-20,36.80,36.60,37.00,35.00,36.70,36.40,36.22,30438,11.02,122,17857,58.67
WEBELSOLAR,EQ,2015-02-23,36.40,34.10,40.00,34.10,40.00,39.80,39.30,128206,50.39,788,77789,60.68
WEBELSOLAR,EQ,2015-02-24,39.80,41.50,41.75,37.85,37.85,37.85,40.13,180789,72.55,789,101012,55.87
WEBELSOLAR,EQ,2015-02-25,37.85,36.75,38.80,36.00,36.00,36.00,36.37,25473,9.26,100,19134,75.11
WEBELSOLAR,EQ,2015-02-26,36.00,36.20,37.80,34.20,37.80,37.75,36.75,181450,66.69,1145,65301,35.99
WEBELSOLAR,EQ,2015-02-27,37.75,38.10,39.60,37.10,39.10,39.50,38.98,141973,55.34,690,88190,62.12
WEBELSOLAR,EQ,2015-02-28,39.50,39.55,41.40,37.55,37.55,37.55,39.38,67950,26.76,451,40113,59.03
WEBELSOLAR,EQ,2015-03-02,37.55,38.00,38.00,35.70,35.70,35.70,36.06,10705,3.86,60,8766,81.89
WEBELSOLAR,EQ,2015-03-03,35.70,33.95,36.00,33.95,33.95,33.95,34.12,90553,30.90,308,66574,73.52
WEBELSOLAR,EQ,2015-03-04,33.95,34.00,34.25,32.30,32.30,32.30,32.92,32269,10.62,178,20609,63.87
WEBELSOLAR,EQ,2015-03-05,32.30,32.25,32.40,30.70,31.35,31.15,31.02,75319,23.36,270,63459,84.25
WEBELSOLAR,EQ,2015-03-09,31.15,30.60,32.70,29.60,31.50,31.90,31.78,46237,14.69,270,27023,58.44
WEBELSOLAR,EQ,2015-03-10,31.90,33.45,33.45,30.50,30.95,30.85,31.99,26577,8.50,251,18993,71.46
WEBELSOLAR,EQ,2015-03-11,30.85,31.45,31.45,29.35,29.35,29.35,29.51,33356,9.84,163,19617,58.81
WEBELSOLAR,EQ,2015-03-12,29.35,30.00,30.00,27.90,28.00,28.05,28.45,20007,5.69,181,14097,70.46
WEBELSOLAR,EQ,2015-03-13,28.05,28.70,29.40,26.65,26.95,26.75,28.20,60450,17.05,212,47873,79.19
WEBELSOLAR,EQ,2015-03-16,26.75,26.50,28.05,25.55,25.55,25.70,26.68,126062,33.63,193,120205,95.35
WEBELSOLAR,EQ,2015-03-17,25.70,25.00,25.90,24.45,24.45,24.45,24.77,26236,6.50,193,15999,60.98
WEBELSOLAR,EQ,2015-03-18,24.45,24.60,25.65,23.30,24.55,24.50,24.58,69146,16.99,428,41792,60.44
WEBELSOLAR,EQ,2015-03-19,24.50,24.25,25.70,24.25,25.70,25.50,25.50,62153,15.85,236,49523,79.68
WEBELSOLAR,EQ,2015-03-20,25.50,26.00,26.10,24.25,24.25,24.25,24.62,16163,3.98,75,13195,81.64
WEBELSOLAR,EQ,2015-03-23,24.25,23.05,23.25,23.05,23.05,23.05,23.08,5981,1.38,32,5979,99.97
WEBELSOLAR,EQ,2015-03-24,23.05,22.85,22.85,21.90,22.25,21.90,21.97,16251,3.57,131,12779,78.64
WEBELSOLAR,EQ,2015-03-25,21.90,22.00,22.55,20.85,20.85,21.15,21.67,11475,2.49,147,8117,70.74
WEBELSOLAR,EQ,2015-03-26,21.15,20.15,20.80,20.10,20.10,20.10,20.13,96604,19.45,80,94977,98.32
WEBELSOLAR,EQ,2015-03-27,20.10,20.00,20.00,19.10,19.10,19.10,19.13,16024,3.07,110,15170,94.67
WEBELSOLAR,EQ,2015-03-30,19.10,19.10,20.05,18.60,20.05,20.05,19.18,57730,11.07,234,44416,76.94
WEBELSOLAR,EQ,2015-03-31,20.05,21.05,21.05,21.05,21.05,21.05,21.05,8449,1.78,19,6000,71.01
