Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
WENDT,EQ,2014-12-04,2220.35,2240.00,2240.00,2114.70,2125.00,2141.80,2158.07,1569,33.86,165,1298,82.73
WENDT,EQ,2014-12-05,2141.80,2160.00,2176.95,2101.50,2105.00,2109.40,2119.89,809,17.15,136,617,76.27
WENDT,EQ,2014-12-08,2109.40,2036.70,2150.00,2036.70,2080.00,2096.05,2101.20,573,12.04,82,419,73.12
WENDT,EQ,2014-12-09,2096.05,2096.05,2139.00,2020.00,2030.00,2030.40,2067.45,816,16.87,92,556,68.14
WENDT,EQ,2014-12-10,2030.40,2060.00,2099.75,1961.00,2055.10,2060.60,2043.70,847,17.31,95,677,79.93
WENDT,EQ,2014-12-11,2060.60,2055.00,2081.00,2030.00,2050.00,2047.80,2059.98,257,5.29,34,73,28.40
WENDT,EQ,2014-12-12,2047.80,2021.20,2105.00,1980.00,1981.30,1996.90,2029.26,575,11.67,83,412,71.65
WENDT,EQ,2014-12-15,1996.90,1980.10,2020.00,1975.00,2000.00,1989.20,1989.30,95,1.89,32,70,73.68
WENDT,EQ,2014-12-16,1989.20,1961.65,1961.65,1851.00,1860.00,1873.00,1902.60,391,7.44,105,252,64.45
WENDT,EQ,2014-12-17,1873.00,1810.00,1918.00,1778.00,1800.00,1817.40,1812.00,727,13.17,115,434,59.70
WENDT,EQ,2014-12-18,1817.40,1851.00,1884.80,1850.00,1856.30,1859.65,1857.44,211,3.92,58,106,50.24
WENDT,EQ,2014-12-19,1859.65,1900.00,1900.00,1725.05,1834.90,1828.95,1838.67,879,16.16,130,611,69.51
WENDT,EQ,2014-12-22,1828.95,1835.05,1949.00,1835.05,1925.00,1919.50,1909.55,617,11.78,87,467,75.69
WENDT,EQ,2014-12-23,1919.50,1925.00,1950.05,1905.00,1917.80,1917.80,1940.66,580,11.26,69,498,85.86
WENDT,EQ,2014-12-24,1917.80,1900.00,1939.90,1900.00,1939.90,1929.95,1929.78,276,5.33,15,267,96.74
WENDT,EQ,2014-12-26,1929.95,1876.00,1945.00,1876.00,1895.00,1898.35,1890.80,30,0.57,10,20,66.67
WENDT,EQ,2014-12-29,1898.35,1850.00,1948.00,1850.00,1948.00,1925.40,1914.59,174,3.33,39,109,62.64
WENDT,EQ,2014-12-30,1925.40,1957.00,1957.00,1885.10,1901.00,1913.10,1908.28,156,2.98,13,124,79.49
WENDT,EQ,2014-12-31,1913.10,1914.00,1954.00,1914.00,1954.00,1954.00,1930.91,22,0.42,7,22,100.00
WENDT,EQ,2015-01-01,1954.00,1954.00,2014.00,1954.00,2000.00,1999.85,2000.96,647,12.95,79,518,80.06
WENDT,EQ,2015-01-02,1999.85,2000.00,2037.80,1950.00,2019.00,2000.25,2002.89,565,11.32,48,498,88.14
WENDT,EQ,2015-01-05,2000.25,2018.00,2018.00,1975.00,2000.00,2001.60,2002.29,815,16.32,36,804,98.65
WENDT,EQ,2015-01-06,2001.60,1940.05,1997.50,1922.00,1940.00,1939.95,1964.54,447,8.78,38,424,94.85
WENDT,EQ,2015-01-07,1939.95,1900.05,1992.00,1895.00,1929.85,1929.85,1916.80,49,0.94,17,27,55.10
WENDT,EQ,2015-01-08,1929.85,1935.05,1988.00,1935.00,1979.00,1978.30,1959.88,288,5.64,44,218,75.69
WENDT,EQ,2015-01-09,1978.30,1950.05,1994.75,1940.00,1983.80,1942.95,1967.61,87,1.71,27,69,79.31
WENDT,EQ,2015-01-12,1942.95,1998.00,2028.00,1967.70,2019.00,2018.90,2010.33,1546,31.08,80,845,54.66
WENDT,EQ,2015-01-13,2018.90,1952.00,2079.95,1952.00,2000.00,1995.05,2015.70,686,13.83,69,408,59.48
WENDT,EQ,2015-01-14,1995.05,1975.65,1997.70,1960.00,1969.90,1963.85,1967.90,238,4.68,43,134,56.30
WENDT,EQ,2015-01-15,1963.85,2062.00,2062.00,1956.20,1990.00,1983.60,1994.67,32,0.64,24,24,75.00
WENDT,EQ,2015-01-16,1983.60,1925.10,1998.00,1925.00,1970.00,1970.05,1967.64,107,2.11,35,41,38.32
WENDT,EQ,2015-01-19,1970.05,1933.70,2043.00,1933.70,1960.00,1963.85,1975.63,439,8.67,55,293,66.74
WENDT,EQ,2015-01-20,1963.85,2000.00,2000.00,1960.00,1960.00,1973.75,1981.97,433,8.58,63,292,67.44
WENDT,EQ,2015-01-21,1973.75,1934.05,2017.00,1934.05,2000.00,2001.00,1989.62,531,10.56,43,408,76.84
WENDT,EQ,2015-01-22,2001.00,2000.00,2015.00,1983.10,1989.00,1986.30,1995.60,903,18.02,84,661,73.20
WENDT,EQ,2015-01-23,1986.30,1985.50,2025.00,1980.00,1987.00,1996.60,1996.30,717,14.31,88,454,63.32
