Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
WSI,EQ,2014-12-04,16.50,17.20,17.20,16.10,16.50,16.50,16.63,5542,0.92,27,3134,56.55
WSI,EQ,2014-12-05,16.50,17.00,17.00,15.70,16.10,16.05,15.96,5736,0.92,20,4100,71.48
WSI,EQ,2014-12-08,16.05,16.80,16.80,16.05,16.05,16.05,16.49,57,0.01,4,53,92.98
WSI,EQ,2014-12-09,16.05,15.80,16.80,15.80,16.10,16.10,16.25,850,0.14,12,594,69.88
WSI,EQ,2014-12-10,16.10,16.65,16.65,15.75,16.00,16.10,16.00,1378,0.22,13,902,65.46
WSI,EQ,2014-12-11,16.10,15.50,16.00,15.50,15.50,15.50,15.55,500,0.08,4,480,96.00
WSI,EQ,2014-12-12,15.50,15.85,16.25,15.85,15.85,15.95,15.93,1450,0.23,12,1450,100.00
WSI,EQ,2014-12-15,15.95,15.25,15.40,15.25,15.40,15.40,15.33,333,0.05,4,333,100.00
WSI,EQ,2014-12-16,15.40,14.70,15.85,14.70,14.75,14.75,15.02,570,0.09,8,410,71.93
WSI,EQ,2014-12-17,14.75,15.00,15.00,14.15,14.95,14.95,14.37,413,0.06,21,407,98.55
WSI,EQ,2014-12-18,14.95,14.25,15.00,14.25,14.95,14.95,14.27,526,0.08,9,517,98.29
WSI,EQ,2014-12-19,14.95,14.25,15.60,14.25,14.50,14.50,14.93,3705,0.55,20,2000,53.98
WSI,EQ,2014-12-22,14.50,14.00,15.15,14.00,15.15,15.15,14.69,650,0.10,6,450,69.23
WSI,EQ,2014-12-23,15.15,14.70,14.90,14.70,14.90,14.90,14.75,752,0.11,8,482,64.10
WSI,EQ,2014-12-24,14.90,14.20,15.00,14.20,15.00,14.35,14.51,850,0.12,13,751,88.35
WSI,EQ,2014-12-26,14.35,14.65,15.00,14.50,14.60,14.60,14.78,1329,0.20,12,1095,82.39
WSI,EQ,2014-12-29,14.60,15.15,15.15,14.75,15.15,15.15,15.00,1314,0.20,7,1014,77.17
WSI,EQ,2014-12-30,15.15,14.45,15.30,14.45,14.75,14.75,14.74,170,0.03,4,170,100.00
WSI,EQ,2014-12-31,14.75,14.40,15.30,14.40,14.65,14.65,14.77,345,0.05,8,339,98.26
WSI,EQ,2015-01-01,14.65,14.50,14.50,14.50,14.50,14.50,14.50,500,0.07,1,500,100.00
WSI,EQ,2015-01-02,14.50,15.30,15.30,15.25,15.25,15.25,15.27,300,0.05,4,300,100.00
WSI,EQ,2015-01-05,15.25,15.30,16.00,15.30,16.00,15.95,15.44,1400,0.22,9,1400,100.00
WSI,EQ,2015-01-06,15.95,14.50,16.50,14.50,16.00,16.00,15.76,1720,0.27,18,600,34.88
WSI,EQ,2015-01-07,16.00,16.45,16.45,14.60,15.15,15.15,14.74,903,0.13,9,900,99.67
WSI,EQ,2015-01-08,15.15,15.00,16.20,15.00,15.80,15.80,15.80,2051,0.32,9,1400,68.26
WSI,EQ,2015-01-09,15.80,14.75,16.50,14.65,15.65,15.65,15.93,869,0.14,18,708,81.47
WSI,EQ,2015-01-12,15.65,15.10,15.35,15.10,15.35,15.35,15.31,600,0.09,6,536,89.33
WSI,EQ,2015-01-13,15.35,15.00,15.20,14.85,15.20,15.20,15.16,1160,0.18,10,1060,91.38
WSI,EQ,2015-01-14,15.20,15.60,16.50,15.30,15.75,15.75,15.79,1615,0.26,12,875,54.18
WSI,EQ,2015-01-15,15.75,16.35,16.35,15.65,16.30,16.30,16.01,221,0.04,5,220,99.55
WSI,EQ,2015-01-16,16.30,15.75,16.35,15.75,16.35,16.10,16.00,844,0.14,9,844,100.00
WSI,EQ,2015-01-19,16.10,15.10,17.30,15.10,16.30,16.30,15.74,2418,0.38,21,2002,82.80
WSI,EQ,2015-01-20,16.30,16.35,16.90,16.20,16.50,16.50,16.55,2205,0.36,8,1205,54.65
WSI,EQ,2015-01-21,16.50,16.75,17.40,15.75,17.40,17.40,16.06,22,0.00,5,21,95.45
WSI,EQ,2015-01-22,17.40,16.05,17.00,16.00,17.00,17.00,16.14,77,0.01,5,77,100.00
WSI,EQ,2015-01-23,17.00,15.80,16.40,15.75,16.00,16.00,16.16,3300,0.53,10,2300,69.70
WSI,EQ,2015-01-27,16.00,16.00,16.95,16.00,16.95,16.95,16.15,4458,0.72,7,3758,84.30
WSI,EQ,2015-01-28,16.95,18.40,18.40,15.60,16.50,16.50,16.24,2454,0.40,13,2451,99.88
WSI,EQ,2015-01-29,16.50,16.00,16.50,15.05,16.00,16.00,15.83,3315,0.52,7,3214,96.95
WSI,EQ,2015-01-30,16.00,15.65,16.00,15.65,15.65,15.65,15.76,757,0.12,6,757,100.00
WSI,EQ,2015-02-02,15.65,15.05,15.15,15.05,15.10,15.10,15.06,239,0.04,4,239,100.00
WSI,EQ,2015-02-03,15.10,15.05,16.20,15.00,15.25,15.25,15.59,228,0.04,4,120,52.63
WSI,EQ,2015-02-04,15.25,15.00,15.00,15.00,15.00,15.00,15.00,2100,0.32,10,2100,100.00
WSI,EQ,2015-02-05,15.00,15.00,16.45,14.85,15.80,14.90,14.94,524,0.08,13,502,95.80
WSI,EQ,2015-02-09,14.90,17.00,17.00,16.90,16.90,16.90,16.99,110,0.02,3,110,100.00
WSI,EQ,2015-02-10,16.90,15.40,16.65,15.00,15.00,15.00,15.39,4148,0.64,78,1840,44.36
WSI,EQ,2015-02-11,15.00,14.55,14.65,14.55,14.65,14.65,14.60,100,0.01,2,100,100.00
WSI,EQ,2015-02-12,14.65,14.25,15.95,14.25,14.50,14.95,14.94,1794,0.27,9,1792,99.89
WSI,EQ,2015-02-13,14.95,14.30,16.00,12.45,14.10,16.00,14.35,10027,1.44,84,6114,60.98
WSI,EQ,2015-02-16,16.00,14.35,16.00,14.35,14.45,14.75,15.46,21511,3.33,20,770,3.58
WSI,EQ,2015-02-18,14.75,15.45,17.60,14.10,14.60,14.65,15.25,9687,1.48,57,1740,17.96
WSI,EQ,2015-02-20,14.65,14.25,15.55,13.70,14.00,14.05,14.04,4002,0.56,15,4000,99.95
WSI,EQ,2015-02-23,14.05,13.60,16.70,13.25,13.65,13.65,13.60,10266,1.40,44,8101,78.91
WSI,EQ,2015-02-24,13.65,13.65,14.05,12.80,12.90,12.90,12.96,4779,0.62,21,4698,98.31
WSI,EQ,2015-02-25,12.90,14.30,14.30,12.75,12.75,12.80,12.91,636,0.08,13,381,59.91
WSI,EQ,2015-02-26,12.80,12.75,13.50,12.75,13.50,13.50,12.81,2027,0.26,7,2027,100.00
WSI,EQ,2015-02-27,13.50,13.00,13.50,12.30,13.35,13.20,13.20,4550,0.60,12,4460,98.02
WSI,EQ,2015-02-28,13.20,12.55,12.65,12.55,12.65,12.65,12.57,650,0.08,5,650,100.00
WSI,EQ,2015-03-02,12.65,13.50,13.50,12.70,13.50,13.15,13.12,6731,0.88,13,6211,92.27
WSI,EQ,2015-03-03,13.15,12.60,12.60,12.60,12.60,12.60,12.60,200,0.03,1,200,100.00
WSI,EQ,2015-03-05,12.60,12.65,12.65,12.40,12.40,12.40,12.45,150,0.02,5,150,100.00
WSI,EQ,2015-03-09,12.40,12.40,12.40,12.00,12.00,12.00,12.02,401,0.05,4,400,99.75
WSI,EQ,2015-03-10,12.00,13.00,13.40,12.40,12.60,12.60,12.91,5733,0.74,18,1589,27.72
WSI,EQ,2015-03-11,12.60,12.60,12.60,12.60,12.60,12.60,12.60,75,0.01,2,75,100.00
WSI,EQ,2015-03-12,12.60,14.65,14.65,12.20,13.40,12.75,13.43,215,0.03,12,186,86.51
WSI,EQ,2015-03-13,12.75,12.10,14.25,12.10,12.45,12.45,12.59,602,0.08,7,512,85.05
WSI,EQ,2015-03-16,12.45,12.95,12.95,12.00,12.00,12.45,12.46,10219,1.27,11,217,2.12
WSI,EQ,2015-03-17,12.45,13.85,13.85,11.25,12.00,12.65,12.14,3068,0.37,38,2445,79.69
WSI,EQ,2015-03-18,12.65,12.00,13.35,12.00,12.05,12.05,12.02,548,0.07,6,548,100.00
WSI,EQ,2015-03-19,12.05,12.00,12.80,11.40,11.85,11.85,11.73,2904,0.34,22,2559,88.12
WSI,EQ,2015-03-20,11.85,11.85,12.65,11.00,12.65,12.65,12.51,672,0.08,11,669,99.55
WSI,EQ,2015-03-23,12.65,12.20,12.20,10.70,11.30,11.30,11.09,203,0.02,12,100,49.26
WSI,EQ,2015-03-24,11.30,10.85,10.90,10.85,10.90,10.90,10.88,150,0.02,2,150,100.00
WSI,EQ,2015-03-25,10.90,10.90,11.45,10.30,11.00,11.00,11.04,750,0.08,13,606,80.80
WSI,EQ,2015-03-26,11.00,10.40,11.10,10.30,10.30,10.30,10.87,633,0.07,10,631,99.68
WSI,EQ,2015-03-27,10.30,10.20,10.95,10.00,10.75,10.75,10.35,1608,0.17,15,1440,89.55
WSI,EQ,2015-03-30,10.75,10.00,10.05,9.65,10.05,10.05,10.00,104,0.01,6,102,98.08
WSI,EQ,2015-03-31,10.05,11.00,11.75,10.20,10.30,10.30,10.52,1403,0.15,8,1400,99.79
WSI,EQ,2015-04-01,10.30,10.30,11.10,10.25,11.05,10.95,10.60,830,0.09,16,338,40.72
WSI,EQ,2015-04-06,10.95,10.20,11.30,9.90,11.30,11.25,11.17,1753,0.20,17,1645,93.84
WSI,EQ,2015-04-07,11.25,10.50,11.65,10.50,10.65,10.65,10.68,850,0.09,4,500,58.82
WSI,EQ,2015-04-08,10.65,10.80,11.80,10.75,11.80,11.80,11.42,2957,0.34,12,2857,96.62
WSI,EQ,2015-04-09,11.80,13.90,13.90,11.00,11.05,11.05,11.47,7697,0.88,58,7115,92.44
WSI,EQ,2015-04-10,11.05,12.90,12.90,11.50,11.80,11.80,11.79,1221,0.14,11,1220,99.92
WSI,EQ,2015-04-13,11.80,11.80,11.80,11.80,11.80,11.80,11.80,146,0.02,3,146,100.00
WSI,EQ,2015-04-15,11.80,11.50,11.75,11.50,11.65,11.65,11.63,1450,0.17,10,1450,100.00
WSI,EQ,2015-04-16,11.65,11.30,12.30,11.30,11.75,11.75,11.61,723,0.08,6,723,100.00
WSI,EQ,2015-04-17,11.75,11.30,11.30,11.30,11.30,11.30,11.30,238,0.03,3,238,100.00
WSI,EQ,2015-04-21,11.30,13.25,13.25,11.00,12.15,12.15,11.63,974,0.11,17,750,77.00
WSI,EQ,2015-04-22,12.15,13.80,13.80,11.25,11.25,11.45,12.23,475,0.06,7,250,52.63
WSI,EQ,2015-04-23,11.45,12.80,12.80,11.60,12.00,12.00,12.09,17006,2.06,9,3,0.02
WSI,EQ,2015-04-24,12.00,12.50,12.50,11.60,12.05,12.05,12.46,10501,1.31,13,10400,99.04
WSI,EQ,2015-04-27,12.05,11.35,11.35,10.55,10.65,10.65,10.99,852,0.09,12,799,93.78
WSI,EQ,2015-04-28,10.65,11.20,12.20,11.15,11.15,11.15,11.69,10200,1.19,3,200,1.96
WSI,EQ,2015-04-29,11.15,10.80,12.50,10.80,11.95,11.95,12.15,1504,0.18,13,901,59.91
WSI,EQ,2015-04-30,11.95,11.20,11.90,11.05,11.90,11.90,11.08,53,0.01,5,51,96.23
WSI,EQ,2015-05-04,11.90,11.20,12.15,10.60,12.15,12.15,11.12,430,0.05,12,426,99.07
WSI,EQ,2015-05-05,12.15,11.40,12.00,11.40,12.00,12.00,11.70,2,0.00,2,1,50.00
WSI,EQ,2015-05-06,12.00,14.30,14.30,10.45,11.25,11.25,13.45,3633,0.49,11,3629,99.89
WSI,EQ,2015-05-07,11.25,10.65,11.95,10.65,11.95,11.95,10.71,105,0.01,2,105,100.00
WSI,EQ,2015-05-08,11.95,11.95,11.95,10.95,11.00,11.00,11.02,405,0.04,10,400,98.77
WSI,EQ,2015-05-12,11.00,10.55,10.55,10.55,10.55,10.55,10.55,100,0.01,1,100,100.00
WSI,EQ,2015-05-13,10.55,10.50,11.95,10.50,10.65,10.65,10.85,1134,0.12,19,1033,91.09
WSI,EQ,2015-05-14,10.65,12.55,12.55,11.30,11.30,11.55,11.82,3375,0.40,14,2243,66.46
