Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
WSTCSTPAPR,EQ,2014-12-04,58.95,59.20,60.70,58.35,59.25,59.30,59.41,101262,60.16,929,36266,35.81
WSTCSTPAPR,EQ,2014-12-05,59.30,59.70,62.15,59.40,60.25,60.40,61.15,253607,155.07,2027,128409,50.63
WSTCSTPAPR,EQ,2014-12-08,60.40,60.70,62.00,59.30,59.30,59.35,60.56,123626,74.87,967,58080,46.98
WSTCSTPAPR,EQ,2014-12-09,59.35,59.75,60.75,58.00,58.50,58.45,59.19,105799,62.62,710,43876,41.47
WSTCSTPAPR,EQ,2014-12-10,58.45,58.70,58.80,57.85,58.30,58.30,58.26,88302,51.45,420,47389,53.67
WSTCSTPAPR,EQ,2014-12-11,58.30,58.00,58.60,57.55,58.55,58.05,57.99,43354,25.14,324,27020,62.32
WSTCSTPAPR,EQ,2014-12-12,58.05,58.10,59.00,57.00,57.15,57.10,57.93,46118,26.72,334,24453,53.02
WSTCSTPAPR,EQ,2014-12-15,57.10,57.60,57.80,56.10,57.00,56.85,56.89,36965,21.03,208,27886,75.44
WSTCSTPAPR,EQ,2014-12-16,56.85,56.60,56.60,54.50,54.75,54.70,55.38,45713,25.31,412,34652,75.80
WSTCSTPAPR,EQ,2014-12-17,54.70,56.00,56.00,52.90,54.85,54.25,54.28,64340,34.93,439,42901,66.68
WSTCSTPAPR,EQ,2014-12-18,54.25,54.00,55.85,54.00,55.00,55.35,55.24,42969,23.74,295,29026,67.55
WSTCSTPAPR,EQ,2014-12-19,55.35,56.00,56.80,55.25,55.40,55.45,55.90,56318,31.48,451,30018,53.30
WSTCSTPAPR,EQ,2014-12-22,55.45,55.90,55.95,54.80,55.25,55.20,55.37,34662,19.19,359,22433,64.72
WSTCSTPAPR,EQ,2014-12-23,55.20,55.70,55.70,54.60,54.75,54.70,54.92,43639,23.97,307,35343,80.99
WSTCSTPAPR,EQ,2014-12-24,54.70,54.85,56.20,54.50,54.80,55.10,55.30,40077,22.16,328,21829,54.47
WSTCSTPAPR,EQ,2014-12-26,55.10,55.10,56.50,55.10,56.20,56.00,55.84,46983,26.23,502,31200,66.41
WSTCSTPAPR,EQ,2014-12-29,56.00,56.40,57.10,55.80,56.40,56.05,56.37,26618,15.01,329,17981,67.55
WSTCSTPAPR,EQ,2014-12-30,56.05,55.70,56.20,54.65,55.30,55.20,55.45,57015,31.62,325,30359,53.25
WSTCSTPAPR,EQ,2014-12-31,55.20,55.35,56.50,55.05,55.60,56.05,55.95,41843,23.41,331,21324,50.96
WSTCSTPAPR,EQ,2015-01-01,56.05,56.05,57.15,55.70,56.35,56.40,56.38,57874,32.63,469,27455,47.44
WSTCSTPAPR,EQ,2015-01-02,56.40,56.60,58.40,56.60,57.20,57.35,57.74,90829,52.45,776,63139,69.51
WSTCSTPAPR,EQ,2015-01-05,57.35,57.65,59.50,57.00,58.70,57.80,58.70,188223,110.48,1640,89536,47.57
WSTCSTPAPR,EQ,2015-01-06,57.80,57.65,57.90,54.00,56.00,55.85,56.22,48973,27.53,423,30374,62.02
WSTCSTPAPR,EQ,2015-01-07,55.85,55.80,56.70,54.70,55.60,55.30,55.24,93707,51.76,684,62785,67.00
WSTCSTPAPR,EQ,2015-01-08,55.30,55.50,56.55,55.30,55.90,55.65,55.84,41613,23.24,389,22925,55.09
WSTCSTPAPR,EQ,2015-01-09,55.65,56.00,56.45,54.80,55.30,55.15,55.55,45402,25.22,329,28017,61.71
WSTCSTPAPR,EQ,2015-01-12,55.15,55.40,57.05,54.45,55.70,55.90,56.18,82704,46.46,673,47129,56.99
WSTCSTPAPR,EQ,2015-01-13,55.90,57.25,57.25,55.05,55.40,55.20,55.67,41366,23.03,383,25299,61.16
