Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ZEEL,EQ,2014-12-04,376.60,377.20,377.95,369.00,376.10,374.65,372.54,2352452,8763.88,33711,1504970,63.97
ZEEL,P1,2014-12-04,0.85,0.85,0.85,0.85,0.85,0.85,0.85,16528,0.14,8,16528,100.00
ZEEL,EQ,2014-12-05,374.65,374.15,375.95,371.05,372.00,372.65,372.35,1137286,4234.73,16357,717532,63.09
ZEEL,P1,2014-12-05,0.85,0.85,0.85,0.85,0.85,0.85,0.85,2652448,22.55,13,2652448,100.00
ZEEL,EQ,2014-12-08,372.65,373.00,380.50,371.00,373.75,374.55,375.68,1490662,5600.13,23792,446432,29.95
ZEEL,P1,2014-12-08,0.85,0.85,0.90,0.85,0.90,0.90,0.90,501245,4.51,12,501245,100.00
ZEEL,EQ,2014-12-09,374.55,373.50,375.70,365.10,366.65,365.95,369.62,960495,3550.22,15026,462494,48.15
ZEEL,P1,2014-12-09,0.90,0.90,0.90,0.85,0.90,0.90,0.85,7117,0.06,7,6793,95.45
ZEEL,EQ,2014-12-10,365.95,364.10,373.70,364.10,371.00,371.70,370.15,1144165,4235.14,20348,665183,58.14
ZEEL,P1,2014-12-10,0.90,0.85,0.85,0.85,0.85,0.85,0.85,12186,0.10,10,12186,100.00
ZEEL,EQ,2014-12-11,371.70,374.45,375.00,365.75,369.45,369.80,369.63,846293,3128.13,13991,369366,43.65
ZEEL,P1,2014-12-11,0.85,0.85,0.90,0.85,0.90,0.90,0.89,122721,1.10,43,110000,89.63
ZEEL,EQ,2014-12-12,369.80,369.80,371.70,360.20,361.00,361.35,363.45,1624925,5905.74,22026,948498,58.37
ZEEL,P1,2014-12-12,0.90,0.85,0.85,0.85,0.85,0.85,0.85,21735,0.18,9,21735,100.00
ZEEL,EQ,2014-12-15,361.35,358.00,368.80,357.90,367.15,367.65,366.69,1506778,5525.14,23307,848506,56.31
ZEEL,P1,2014-12-15,0.85,0.85,0.85,0.85,0.85,0.85,0.85,17311,0.15,9,17311,100.00
ZEEL,EQ,2014-12-16,367.65,364.00,373.00,363.40,368.80,368.25,369.20,1752324,6469.67,34057,728975,41.60
ZEEL,P1,2014-12-16,0.85,0.85,0.90,0.85,0.90,0.90,0.85,20029,0.17,7,19903,99.37
ZEEL,EQ,2014-12-17,368.25,365.15,372.45,361.85,367.80,369.30,367.04,1508248,5535.91,31845,768442,50.95
ZEEL,P1,2014-12-17,0.90,0.85,0.85,0.85,0.85,0.85,0.85,31143,0.26,10,31143,100.00
ZEEL,EQ,2014-12-18,369.30,372.10,379.70,368.85,376.35,376.30,376.27,2078875,7822.08,33775,1231715,59.25
ZEEL,P1,2014-12-18,0.85,0.90,0.90,0.85,0.85,0.85,0.87,8933,0.08,10,8933,100.00
ZEEL,EQ,2014-12-19,376.30,381.00,388.95,376.85,377.00,381.05,383.85,4097398,15727.86,46132,2656709,64.84
ZEEL,P1,2014-12-19,0.85,0.90,0.90,0.85,0.85,0.85,0.85,35068,0.30,11,35060,99.98
ZEEL,EQ,2014-12-22,381.05,378.50,382.40,374.05,377.55,377.95,378.04,1236281,4673.62,28831,550956,44.57
ZEEL,P1,2014-12-22,0.85,0.85,0.90,0.85,0.85,0.85,0.85,18751,0.16,12,18751,100.00
ZEEL,EQ,2014-12-23,377.95,379.70,383.70,375.00,379.50,378.85,379.59,1322944,5021.82,31883,576760,43.60
ZEEL,P1,2014-12-23,0.85,0.85,0.90,0.85,0.85,0.85,0.85,58401,0.50,17,58401,100.00
ZEEL,EQ,2014-12-24,378.85,381.00,382.50,377.45,381.50,380.55,380.40,2202655,8378.83,30326,1297280,58.90
ZEEL,P1,2014-12-24,0.85,0.85,0.90,0.85,0.90,0.90,0.85,7208,0.06,11,7208,100.00
ZEEL,EQ,2014-12-26,380.55,382.30,382.30,375.80,376.60,376.90,377.90,479626,1812.50,12077,162084,33.79
ZEEL,P1,2014-12-26,0.90,0.85,0.85,0.85,0.85,0.85,0.85,8022,0.07,3,8022,100.00
ZEEL,EQ,2014-12-29,376.90,377.00,381.00,377.00,379.60,379.50,379.69,467920,1776.63,10712,175360,37.48
ZEEL,P1,2014-12-29,0.85,0.85,0.85,0.85,0.85,0.85,0.85,201450,1.71,16,201450,100.00
ZEEL,EQ,2014-12-30,379.50,380.15,384.50,377.05,379.00,378.60,381.26,816744,3113.90,17001,298191,36.51
ZEEL,P1,2014-12-30,0.85,0.90,0.90,0.85,0.85,0.85,0.85,28219,0.24,11,28219,100.00
ZEEL,EQ,2014-12-31,378.60,377.90,382.00,377.00,381.00,380.75,380.36,554908,2110.62,13911,313563,56.51
ZEEL,P1,2014-12-31,0.85,0.85,0.90,0.85,0.85,0.85,0.86,40335,0.35,12,30519,75.66
ZEEL,EQ,2015-01-01,380.75,381.00,381.05,377.05,379.00,377.70,378.33,321140,1214.98,7645,93391,29.08
ZEEL,P1,2015-01-01,0.85,0.85,0.90,0.85,0.85,0.85,0.85,15235,0.13,12,15235,100.00
ZEEL,EQ,2015-01-02,377.70,378.00,383.50,378.00,379.50,380.95,381.24,960337,3661.22,14605,527004,54.88
ZEEL,P1,2015-01-02,0.85,0.85,0.90,0.85,0.90,0.90,0.85,8677,0.07,10,8677,100.00
ZEEL,EQ,2015-01-05,380.95,379.10,381.60,377.10,379.80,380.00,379.79,842678,3200.43,26590,388593,46.11
ZEEL,P1,2015-01-05,0.90,0.85,0.85,0.85,0.85,0.85,0.85,6426,0.05,5,6426,100.00
ZEEL,EQ,2015-01-06,380.00,377.00,378.45,361.20,369.95,367.90,370.26,1443145,5343.42,32994,756677,52.43
ZEEL,P1,2015-01-06,0.85,0.85,0.90,0.85,0.85,0.85,0.85,4481,0.04,5,4481,100.00
ZEEL,EQ,2015-01-07,367.90,367.90,370.00,360.45,363.90,364.85,363.72,1527500,5555.87,21579,924628,60.53
