Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ZUARIGLOB,EQ,2014-12-04,112.25,111.25,114.00,110.05,110.20,110.20,111.60,23909,26.68,670,11501,48.10
ZUARIGLOB,EQ,2014-12-05,110.20,110.00,119.00,110.00,114.55,114.95,115.61,130909,151.35,2318,52622,40.20
ZUARIGLOB,EQ,2014-12-08,114.95,117.00,119.95,112.25,113.60,113.25,116.56,65525,76.37,1185,30885,47.13
ZUARIGLOB,EQ,2014-12-09,113.25,113.90,118.10,111.50,112.05,112.45,115.12,37892,43.62,878,15042,39.70
ZUARIGLOB,EQ,2014-12-10,112.45,115.10,118.80,110.00,110.30,110.20,111.13,30133,33.49,584,16877,56.01
ZUARIGLOB,EQ,2014-12-11,110.20,111.00,113.35,110.00,110.15,110.40,110.58,17910,19.80,496,6678,37.29
ZUARIGLOB,EQ,2014-12-12,110.40,110.05,114.95,110.00,110.00,110.05,112.04,30440,34.10,565,13538,44.47
ZUARIGLOB,EQ,2014-12-15,110.05,110.05,112.25,108.55,109.00,108.95,110.23,26377,29.08,481,14074,53.36
ZUARIGLOB,EQ,2014-12-16,108.95,108.50,109.45,101.50,101.60,101.70,104.11,26807,27.91,549,19956,74.44
ZUARIGLOB,EQ,2014-12-17,101.70,101.55,105.00,101.55,103.00,103.00,102.92,23943,24.64,380,16817,70.24
ZUARIGLOB,EQ,2014-12-18,103.00,103.15,106.95,103.00,105.60,104.65,105.16,13202,13.88,374,3325,25.19
ZUARIGLOB,EQ,2014-12-19,104.65,105.05,107.50,104.65,104.65,105.00,106.03,15864,16.82,451,5513,34.75
ZUARIGLOB,EQ,2014-12-22,105.00,107.35,107.35,101.80,104.20,102.95,104.03,15785,16.42,332,7554,47.86
ZUARIGLOB,EQ,2014-12-23,102.95,104.60,105.70,101.50,105.50,102.40,102.84,35318,36.32,586,24206,68.54
ZUARIGLOB,EQ,2014-12-24,102.40,104.90,105.65,103.25,104.90,104.40,104.34,7720,8.06,340,1949,25.25
ZUARIGLOB,EQ,2014-12-26,104.40,104.00,106.90,101.70,102.50,102.55,103.19,15988,16.50,469,10813,67.63
ZUARIGLOB,EQ,2014-12-29,102.55,104.50,104.90,102.40,102.50,102.50,103.21,11636,12.01,188,7809,67.11
ZUARIGLOB,EQ,2014-12-30,102.50,103.05,104.80,101.70,102.00,102.60,102.92,12530,12.90,397,8765,69.95
ZUARIGLOB,EQ,2014-12-31,102.60,104.70,104.70,102.75,103.50,103.10,103.72,8064,8.36,223,4887,60.60
ZUARIGLOB,EQ,2015-01-01,103.10,102.80,104.20,102.50,103.10,102.95,103.30,5356,5.53,206,2820,52.65
ZUARIGLOB,EQ,2015-01-02,102.95,104.50,107.40,103.90,105.00,104.85,105.45,13652,14.40,266,6645,48.67
ZUARIGLOB,EQ,2015-01-05,104.85,103.35,106.35,103.35,104.35,104.60,105.18,3000,3.16,90,2253,75.10
ZUARIGLOB,EQ,2015-01-06,104.60,105.80,105.80,102.25,102.30,103.20,103.54,19805,20.51,171,17721,89.48
ZUARIGLOB,EQ,2015-01-07,103.20,104.00,104.00,101.55,101.65,101.75,102.10,10613,10.84,292,6461,60.88
ZUARIGLOB,EQ,2015-01-08,101.75,102.10,103.50,102.10,102.20,102.30,102.64,8330,8.55,224,5785,69.45
ZUARIGLOB,EQ,2015-01-09,102.30,103.90,105.50,102.10,102.55,103.10,103.87,13878,14.42,541,5316,38.31
